"my_label","Protein.IDs","Gene.names","Peptides","Razor...unique.peptides","Unique.peptides","Sequence.coverage....","Mol..weight..kDa.","Sequence.length","log2.LFQ.intensity.IP_01","log2.LFQ.intensity.IP_02","log2.LFQ.intensity.IP_03","log2.LFQ.intensity.IP_04","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.RNase_04","log2.LFQ.intensity.WT_01","log2.LFQ.intensity.WT_02","log2.LFQ.intensity.WT_03","log2.LFQ.intensity.WT_04","imputed.log2.LFQ.intensity.IP_01","imputed.log2.LFQ.intensity.IP_02","imputed.log2.LFQ.intensity.IP_03","imputed.log2.LFQ.intensity.IP_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_04","imputed.log2.LFQ.intensity.WT_01","imputed.log2.LFQ.intensity.WT_02","imputed.log2.LFQ.intensity.WT_03","imputed.log2.LFQ.intensity.WT_04","mean2_naimp_meas_IP","mean2_naimp_meas_RNase","mean2_naimp_meas_WT","value_count_IP","value_count_RNase","value_count_WT","pvalue_IP_RNase","pvalue_RNase_WT","log10.pvalue_IP_RNase","log10.pvalue_RNase_WT","difference_IP_RNase","difference_RNase_WT","enriched_IP_RNase","enriched_RNase_WT"
"RNaseA","RNaseA","RNaseA",14,14,14,82,16.461,150,32.4809922777503,34.2773203095568,31.0119864030552,32.1030581463898,38.5322364907616,38.0479633001864,37.5449551829939,37.8266112626232,36.0295389481093,38.9271646019713,37.9025843976989,38.5796452254171,32.4809922777503,34.2773203095568,31.0119864030552,32.1030581463898,38.5322364907616,38.0479633001864,37.5449551829939,37.8266112626232,36.0295389481093,38.9271646019713,37.9025843976989,38.5796452254171,32.468339284188,37.9879415591413,37.8597332932992,4,4,4,0.00234291680736273,0.860328062244144,2.63024313212209,0.0653359110188327,-5.51960227495324,0.128208265842126,FALSE,FALSE
"EFB1","YAL003W","EFB1",9,9,9,68,22.627,206,30.09521824534,29.8235193117714,30.0376079880212,29.6638038450107,30.9615459159138,31.2356346324515,31.0690720930741,30.9756211011255,31.4794270753826,30.6887918798587,31.2590650763194,30.6002763074398,30.09521824534,29.8235193117714,30.0376079880212,29.6638038450107,30.9615459159138,31.2356346324515,31.0690720930741,30.9756211011255,31.4794270753826,30.6887918798587,31.2590650763194,30.6002763074398,29.9050373475358,31.0604684356412,31.0068900847501,4,4,4,0.000171367995430356,0.824111396300307,3.76607028338034,0.0840140801370281,-1.15543108810538,0.0535783508910583,FALSE,FALSE
"SSA1","YAL005C","SSA1",27,9,9,63.7,69.656,642,30.871955584197,31.0613667425113,30.9060548618727,30.9309344331333,30.3808204080791,30.3743047665102,30.3080195866439,30.2727537828926,30.3830887969755,30.3673429922073,30.3923316071829,30.4339031495222,30.871955584197,31.0613667425113,30.9060548618727,30.9309344331333,30.3808204080791,30.3743047665102,30.3080195866439,30.2727537828926,30.3830887969755,30.3673429922073,30.3923316071829,30.4339031495222,30.9425779054286,30.3339746360314,30.394166636472,4,4,4,5.44999422993042e-05,0.104122040936465,4.26360395752349,0.982457327704967,0.608603269397133,-0.0601920004405301,FALSE,FALSE
"ERP2","YAL007C","ERP2",2,2,1,7,24.063,215,25.2319119769189,NA,NA,NA,NA,NA,NA,NA,25.9317714340507,24.2704208084694,24.9645509860236,24.5854884424436,25.2319119769189,24.2561707830832,23.6193271311312,23.6958696932528,24.0988235144263,23.4870811343226,23.297131349402,23.4961853970853,25.9317714340507,24.2704208084694,24.9645509860236,24.5854884424436,24.2008198960965,23.5948053488091,24.9380579177468,1,0,4,0.209854070197954,0.0251720471068256,0.678082603067362,1.59908146418757,0.606014547287465,-1.34325256893777,NA,FALSE
"CYS3","YAL012W","CYS3",9,9,9,40.1,42.542,394,29.7809111130331,29.1987766151713,29.6381336555126,29.58245875575,28.2409539702564,29.2158143191538,29.2925034193538,29.2936658130921,30.0671496101695,28.1158984604928,29.1271868444473,28.0998896850639,29.7809111130331,29.1987766151713,29.6381336555126,29.58245875575,28.2409539702564,29.2158143191538,29.2925034193538,29.2936658130921,30.0671496101695,28.1158984604928,29.1271868444473,28.0998896850639,29.5500700348667,29.010734380464,28.8525311500434,4,4,4,0.12665658585092,0.78080363661772,0.897372222972921,0.10745817259632,0.539335654402713,0.158203230420646,FALSE,FALSE
"TPD3","YAL016W","TPD3",3,3,3,5.5,70.907,635,NA,NA,25.1234864809914,25.4729285251018,NA,NA,25.4281587437451,NA,NA,NA,NA,NA,23.5314456599124,23.905895768032,25.1234864809914,25.4729285251018,24.1255241317897,23.5647264150183,25.4281587437451,24.1383400261574,22.8558547003441,23.4075783114691,23.1791319579341,22.705451115225,24.5084391085094,24.3141873291776,23.0370040212431,2,1,0,0.762004962430061,0.0405740058904305,0.118042200380905,1.39175211208311,0.194251779331779,1.27718330793455,FALSE,NA
"CCR4","YAL021C","CCR4",3,3,3,3.6,94.669,837,24.3703936824998,NA,24.3292346466056,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3703936824998,23.4764239266625,24.3292346466056,23.9756224687118,24.1718066585167,23.6901073636707,23.6677014765961,23.4184285803427,22.9513979086814,23.922840713088,21.5796548793605,22.7691490741732,24.0379186811199,23.7370110197816,22.8057606438258,2,0,0,0.294345863209329,0.146598665686318,0.531142063463111,0.833869982544184,0.300907661338361,0.931250375955806,FALSE,NA
"PMT2","YAL023C","PMT2",2,2,2,4.5,86.869,759,NA,NA,NA,NA,NA,25.1358658200427,NA,NA,24.9991642662642,NA,NA,25.2118568141269,23.9939401795302,23.3262023984607,23.6807286267131,23.637818780766,24.3720426046242,25.1358658200427,23.7353466408656,23.5887786510044,24.9991642662642,24.0667731853005,23.0005587943966,25.2118568141269,23.6596724963675,24.2080084291342,24.319588265022,0,1,2,0.223067295565772,0.862950072498894,0.65156409801048,0.0640143304325015,-0.548335932766701,-0.111579835887838,NA,FALSE
"MAK16","YAL025C","MAK16",3,3,3,13.1,35.695,306,NA,NA,NA,NA,25.1133072290128,25.0054316373434,NA,NA,24.5252211277221,NA,25.38574446251,NA,23.4118745589091,24.68703888205,23.7201837699645,23.8220806242034,25.1133072290128,25.0054316373434,23.8199497042845,23.9887256038011,24.5252211277221,23.716929372065,25.38574446251,23.2482997812491,23.9102944587817,24.4818535436105,24.2190486858865,0,2,2,0.236855558238225,0.66673089468471,0.625516419321641,0.176049420260336,-0.571559084828706,0.262804857723907,FALSE,FALSE
"FUN12","YAL035W","FUN12",16,16,16,19.1,112.27,1002,27.4279030827413,28.2584474241626,27.5478968568756,27.2396345083108,28.5839475034455,28.7932448432155,28.4682431868939,28.2674948102525,28.3009041784757,28.5672504177966,28.5131081259238,28.8472687202523,27.4279030827413,28.2584474241626,27.5478968568756,27.2396345083108,28.5839475034455,28.7932448432155,28.4682431868939,28.2674948102525,28.3009041784757,28.5672504177966,28.5131081259238,28.8472687202523,27.6184704680226,28.5282325859519,28.5571328606121,4,4,4,0.0183223490403056,0.860252744139506,1.73701884781646,0.0653739333391229,-0.909762117929311,-0.0289002746602343,FALSE,FALSE
