"my_label","Protein.IDs","Gene.names","Peptides","Razor...unique.peptides","Unique.peptides","Sequence.coverage....","Mol..weight..kDa.","Sequence.length","log2.LFQ.intensity.IP_01","log2.LFQ.intensity.IP_02","log2.LFQ.intensity.IP_03","log2.LFQ.intensity.IP_04","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.RNase_04","log2.LFQ.intensity.WT_01","log2.LFQ.intensity.WT_02","log2.LFQ.intensity.WT_03","log2.LFQ.intensity.WT_04","imputed.log2.LFQ.intensity.IP_01","imputed.log2.LFQ.intensity.IP_02","imputed.log2.LFQ.intensity.IP_03","imputed.log2.LFQ.intensity.IP_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_04","imputed.log2.LFQ.intensity.WT_01","imputed.log2.LFQ.intensity.WT_02","imputed.log2.LFQ.intensity.WT_03","imputed.log2.LFQ.intensity.WT_04","mean2_naimp_meas_IP","mean2_naimp_meas_RNase","mean2_naimp_meas_WT","value_count_IP","value_count_RNase","value_count_WT","pvalue_IP_RNase","pvalue_RNase_WT","log10.pvalue_IP_RNase","log10.pvalue_RNase_WT","difference_IP_RNase","difference_RNase_WT","enriched_IP_RNase","enriched_RNase_WT"
"RNaseA","RNaseA","RNaseA",11,11,11,78.7,16.461,150,28.4251438564045,27.5314814115113,28.3315513780495,27.438411668294,35.0346924258023,35.4900191789807,35.8544316729063,35.4396418625421,34.3634578732201,35.1277480294054,36.326851657221,33.7406332629713,28.4251438564045,27.5314814115113,28.3315513780495,27.438411668294,35.0346924258023,35.4900191789807,35.8544316729063,35.4396418625421,34.3634578732201,35.1277480294054,36.326851657221,33.7406332629713,27.9316470785648,35.4546962850578,34.8896727057045,4,4,4,1.65843011157494e-06,0.392788443678595,5.78030282549927,0.405841298177468,-7.52304920649301,0.565023579353365,FALSE,FALSE
"EFB1","YAL003W","EFB1",8,8,8,58.7,22.627,206,26.0206217414806,25.5332353759638,23.5942298247993,25.0825749572921,26.7489360071628,24.4636361216132,26.7891764054099,26.8763099085087,22.7750298943722,27.0206217414806,25.2707415935032,28.0002393799893,26.0206217414806,25.5332353759638,23.5942298247993,25.0825749572921,26.7489360071628,24.4636361216132,26.7891764054099,26.8763099085087,22.7750298943722,27.0206217414806,25.2707415935032,28.0002393799893,25.0576654748839,26.2195146106737,25.7666581523363,4,4,4,0.190469965359015,0.740912897066736,0.7201734971916,0.130232845390128,-1.16184913578973,0.452856458337351,FALSE,FALSE
"SSA1","YAL005C","SSA1",23,22,8,52.8,69.656,642,31.382934247345,31.1961870972433,31.6002763074398,31.4603156825016,31.0673419737833,31.102557666773,31.173075110147,31.2242928120232,30.702315041162,31.1765864048041,31.2759754495135,30.9944916638216,31.382934247345,31.1961870972433,31.6002763074398,31.4603156825016,31.0673419737833,31.102557666773,31.173075110147,31.2242928120232,30.702315041162,31.1765864048041,31.2759754495135,30.9944916638216,31.4099283336324,31.1418168906817,31.0373421398253,4,4,4,0.0423365950018337,0.475552818564408,1.37328407384092,0.322801239952358,0.268111442950769,0.104474750856355,FALSE,FALSE
"CYS3","YAL012W","CYS3",5,5,5,17.3,42.542,394,25.1321827748376,24.9819396608254,23.3360630152829,24.6725500813281,24.7070405817542,23.179389775006,24.5973592546414,24.6114990008918,24.6008221558453,25.3757055259118,NA,26.3976409509832,25.1321827748376,24.9819396608254,23.3360630152829,24.6725500813281,24.7070405817542,23.179389775006,24.5973592546414,24.6114990008918,24.6008221558453,25.3757055259118,22.1246566842063,26.3976409509832,24.5306838830685,24.2738221530733,24.6247063292366,4,4,3,0.6565926732464,0.739059046347218,0.182703967763261,0.131320862716993,0.25686172999518,-0.350884176163305,FALSE,FALSE
"TPD3","YAL016W","TPD3",2,2,2,3.1,70.907,635,21.0315369864791,21.0402602853966,NA,21.0169252364611,NA,NA,NA,NA,NA,NA,NA,21.9330465743928,21.0315369864791,21.0402602853966,21.5356496674676,21.0169252364611,21.9486632228251,22.1636179310818,21.5845357024272,20.9511429217585,21.6399194115179,21.6431918615496,22.2595977435832,21.9330465743928,21.1560930439511,21.6619899445231,21.8689388977609,3,0,1,0.155458223925778,0.527523730504927,0.808386298316112,0.277757998977128,-0.505896900572065,-0.206948953237749,FALSE,NA
"FUN12","YAL035W","FUN12",7,7,7,8.6,112.27,1002,24.3763681332999,25.3674638106445,24.3641939807565,24.9021001575754,24.5221107097452,24.8683007220694,24.5640694588087,24.6867766347688,NA,24.2447418491134,23.9494904773214,24.0002393799893,24.3763681332999,25.3674638106445,24.3641939807565,24.9021001575754,24.5221107097452,24.8683007220694,24.5640694588087,24.6867766347688,22.2594883891925,24.2447418491134,23.9494904773214,24.0002393799893,24.7525315205691,24.660314381348,23.6134900239042,4,4,3,0.735286443450278,0.103715401663053,0.133543441085259,0.984156746401641,0.0922171392210664,1.04682435744386,FALSE,FALSE
"RBG1","YAL036C","RBG1",6,6,6,19.2,40.701,369,24.2590403753096,24.2527751362941,24.5777312264821,24.5432131126978,NA,NA,NA,22.7216315943886,NA,NA,NA,22.5615778976691,24.2590403753096,24.2527751362941,24.5777312264821,24.5432131126978,21.7301551427515,22.0996105254933,21.5582268254851,22.7216315943886,22.0835389589845,21.6406345897674,22.0622563522604,22.5615778976691,24.4081899626959,22.0274060220296,22.0870019496704,4,1,1,0.00133839506003407,0.858484336002311,2.87341567500734,0.0662676246146809,2.38078394066628,-0.0595959276407569,TRUE,NA
"CDC19","YAL038W","CDC19",17,17,17,50.6,54.544,500,30.520564222024,30.1550876561149,28.9676322580679,30.1378503710595,30.1026202362208,28.6476677892038,30.2628214397644,30.3174309699656,30.5359364692179,30.9312867654282,29.2855975073786,31.8025882100958,30.520564222024,30.1550876561149,28.9676322580679,30.1378503710595,30.1026202362208,28.6476677892038,30.2628214397644,30.3174309699656,30.5359364692179,30.9312867654282,29.2855975073786,31.8025882100958,29.9452836268166,29.8326351087886,30.6388522380301,4,4,4,0.836354892075258,0.268814517158593,0.0776093984405473,0.570547281185081,0.112648518027932,-0.806217129241471,FALSE,FALSE
"ADE1","YAR015W","ADE1",9,9,9,42.2,34.603,306,24.4486552508025,24.0511737516357,NA,24.1543731303694,24.0522522781262,NA,23.9718473296622,24.004188913604,NA,24.2053082309742,NA,25.5636331643,24.4486552508025,24.0511737516357,21.4605713445858,24.1543731303694,24.0522522781262,22.0850412277343,23.9718473296622,24.004188913604,22.4960643881962,24.2053082309742,22.0631624947378,25.5636331643,23.5286933693484,23.5283324372816,23.5820420695521,3,3,2,0.99967469570713,0.956650178772136,0.000141300843464652,0.0192468429995924,0.000360932066708841,-0.0537096322704329,FALSE,FALSE
"HTB1","YDR224C;YBL002W","HTB1",5,5,5,58,14.252,131,27.9304410233184,28.0833969508381,28.0450502976001,27.8412816799097,28.2376758408141,28.462872044217,28.3837274265297,28.7630024986761,28.1240586619357,27.5282801362726,27.7085279167151,27.1064942518249,27.9304410233184,28.0833969508381,28.0450502976001,27.8412816799097,28.2376758408141,28.462872044217,28.3837274265297,28.7630024986761,28.1240586619357,27.5282801362726,27.7085279167151,27.1064942518249,27.9750424879166,28.4618194525592,27.6168402416871,4,4,4,0.0141271332967307,0.0193535262809855,1.84994595702764,1.71323989344363,-0.486776964642637,0.844979210872172,FALSE,FALSE
