"Pulldown stock ID","Enriched Interacors ID","Analysis","Signature accession","Signature description","Interpro description","Enriched IN signature","Enriched NOT in signature","Quantified IN signature","Quantified NOT in signature","P-value","Estimate","Adjusted P-value"
"YAF017","YDL175C","PIRSF","PIRSF018162","TRAMP_AIR","Poly(A) polymerase complex subunit Air1/2, budding yeast",1,4,1,215,0.0448375154257505,48.1882923497338,0.200782374904281
"YAF017","YDR019C","PIRSF","PIRSF006487","GCST","Aminomethyltransferase-like",1,4,1,215,0.0448375154257505,48.1882923497338,0.200782374904281
"YAF017","YGL173C","PIRSF","PIRSF006743","Exonuclease_Xnr1","5'-3' exoribonuclease 1",1,4,1,215,0.0448375154257505,48.1882923497338,0.200782374904281
"YAF017","YLR432W;YML056C","PIRSF","PIRSF000130","IMPDH","Inosine-5'-monophosphate dehydrogenase",2,3,3,213,0.00400160847932898,43.0983392697187,0.200782374904281
"YAF017","YAL016W","ProSiteProfiles","PS50077","HEAT repeat profile.","HEAT, type 2",1,40,6,441,0.461130471427089,1.83453332402901,0.495481048305405
"YAF017","YAL036C","ProSiteProfiles","PS51710","OBG-type guanine nucleotide-binding (G) domain profile.","OBG-type guanine nucleotide-binding (G) domain",1,40,4,443,0.356398664753362,2.76005628578679,0.398229493949766
"YAF017","YAL036C","ProSiteProfiles","PS51880","TGS domain profile.","TGS",1,40,4,443,0.356398664753362,2.76005628578679,0.398229493949766
"YAF017","YBL032W","ProSiteProfiles","PS50084","Type-1 KH domain profile.","-",1,40,2,445,0.23190075124664,5.52519465812963,0.284496797921136
"YAF017","YBR119W;YDL051W;YDL213C;YDR381W;YER165W;YHL034C;YHR086W;YIL061C;YKL214C;YNL004W;YNL175C;YNL197C;YNL251C;YNR051C;YPL043W;YPL190C","ProSiteProfiles","PS50102","Eukaryotic RNA Recognition Motif (RRM) profile.","RNA recognition motif domain",16,25,29,418,3.77054856677023e-08,9.14399923219615,4.48695279445657e-06
"YAF017","YCL037C;YDL051W","ProSiteProfiles","PS50961","La-type HTH domain profile.","La-type HTH domain",2,39,2,445,0.0371044469236236,11.2814176444648,0.200782374904281
"YAF017","YDL030W;YLR298C","ProSiteProfiles","PS50171","Zinc finger matrin-type profile.","Matrin/U1-C, C2H2-type zinc finger",2,39,2,445,0.0371044469236236,11.2814176444648,0.200782374904281
"YAF017","YDL175C","ProSiteProfiles","PS50158","Zinc finger CCHC-type profile.","Zinc finger, CCHC-type",1,40,3,444,0.296832852687646,3.68343551791646,0.3404637057333
"YAF017","YDR091C","ProSiteProfiles","PS50893","ATP-binding cassette, ABC transporter-type domain profile.","ABC transporter-like",1,40,9,438,0.587757174284748,1.21613700648,0.609525958517516
"YAF017","YDR091C","ProSiteProfiles","PS51379","4Fe-4S ferredoxin-type iron-sulfur binding domain profile.","4Fe-4S ferredoxin-type, iron-sulphur binding domain",1,40,1,446,0.161132056417679,11.0258529652692,0.232563165439462
"YAF017","YDR098C","ProSiteProfiles","PS51352","Thioredoxin domain profile.","Thioredoxin domain",1,40,7,440,0.507063217105861,1.56967044528149,0.531634562428171
"YAF017","YDR098C","ProSiteProfiles","PS51354","Glutaredoxin domain profile.","Glutaredoxin",1,40,1,446,0.161132056417679,11.0258529652692,0.232563165439462
"YAF017","YDR120C","ProSiteProfiles","PS51626","Trm1 methyltransferase domain profile.","tRNA methyltransferase, Trm1",1,40,1,446,0.161132056417679,11.0258529652692,0.232563165439462
"YAF017","YDR174W","ProSiteProfiles","PS50118","HMG boxes A and B DNA-binding domains profile.","High mobility group box domain",1,40,2,445,0.23190075124664,5.52519465812963,0.284496797921136
"YAF017","YER151C","ProSiteProfiles","PS50235","Ubiquitin specific protease (USP) domain profile.","Ubiquitin specific protease domain",1,40,4,443,0.356398664753362,2.76005628578679,0.398229493949766
"YAF017","YER165W","ProSiteProfiles","PS51309","Poly(A)-binding protein C-terminal (PABC) domain profile.","Polyadenylate-binding protein/Hyperplastic disc protein",1,40,1,446,0.161132056417679,11.0258529652692,0.232563165439462
"YAF017","YFL016C","ProSiteProfiles","PS50076","dnaJ domain profile.","DnaJ domain",1,40,7,440,0.507063217105861,1.56967044528149,0.531634562428171
"YAF017","YFL016C","ProSiteProfiles","PS51188","Zinc finger CR-type profile.","Heat shock protein DnaJ, cysteine-rich domain",1,40,3,444,0.296832852687646,3.68343551791646,0.3404637057333
"YAF017","YGR145W;YNL253W;YPL151C","ProSiteProfiles","PS50294","Trp-Asp (WD) repeats circular profile.","WD40-repeat-containing domain",3,38,35,412,0.63934073961033,0.929447410066715,0.658714701416704
"YAF017","YIL126W","ProSiteProfiles","PS50014","Bromodomain profile.","Bromodomain",1,40,3,444,0.296832852687646,3.68343551791646,0.3404637057333
"YAF017","YIL126W","ProSiteProfiles","PS51192","Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile.","Helicase superfamily 1/2, ATP-binding domain",1,40,22,425,0.873504150438072,0.483502822376923,0.886541525817745
"YAF017","YIL126W","ProSiteProfiles","PS51194","Superfamilies 1 and 2 helicase C-terminal domain profile.","Helicase, C-terminal",1,40,22,425,0.873504150438072,0.483502822376923,0.886541525817745
"YAF017","YIL126W","ProSiteProfiles","PS51204","HSA domain profile.","Helicase/SANT-associated domain",1,40,1,446,0.161132056417679,11.0258529652692,0.232563165439462
"YAF017","YJL203W","ProSiteProfiles","PS50128","SURP motif repeat profile.","SWAP/Surp",1,40,1,446,0.161132056417679,11.0258529652692,0.232563165439462
"YAF017","YKL012W","ProSiteProfiles","PS50020","WW/rsp5/WWP domain profile.","WW domain",1,40,2,445,0.23190075124664,5.52519465812963,0.284496797921136
"YAF017","YKL012W","ProSiteProfiles","PS51676","FF domain profile.","FF domain",1,40,1,446,0.161132056417679,11.0258529652692,0.232563165439462
"YAF017","YLL036C","ProSiteProfiles","PS51698","U-box domain profile.","U box domain",1,40,1,446,0.161132056417679,11.0258529652692,0.232563165439462
"YAF017","YLR351C","ProSiteProfiles","PS50263","Carbon-nitrogen hydrolase domain profile.","Carbon-nitrogen hydrolase",1,40,1,446,0.161132056417679,11.0258529652692,0.232563165439462
"YAF017","YLR432W;YML056C","ProSiteProfiles","PS51371","CBS domain profile.","CBS domain",2,39,4,443,0.0832345369571701,5.64177453446813,0.200782374904281
"YAF017","YMR229C","ProSiteProfiles","PS50126","S1 domain profile.","S1 domain",1,40,3,444,0.296832852687646,3.68343551791646,0.3404637057333
"YAF017","YNL251C","ProSiteProfiles","PS51391","CID domain profile.","CID domain",1,40,1,446,0.161132056417679,11.0258529652692,0.232563165439462
"YAF017","YNL253W;YPL151C","ProSiteProfiles","PS50082","Trp-Asp (WD) repeats profile.","WD40 repeat",2,39,33,414,0.815618510300678,0.643853853078911,0.831337068315038
"YAF017","YNR051C","ProSiteProfiles","PS50177","Nuclear transport factor 2 domain profile.","Nuclear transport factor 2, eukaryote",1,40,1,446,0.161132056417679,11.0258529652692,0.232563165439462
"YAF017","YPL127C","ProSiteProfiles","PS51504","Linker histone H1/H5 globular (H15) domain profile.","Linker histone H1/H5, domain H15",1,40,1,446,0.161132056417679,11.0258529652692,0.232563165439462
"YAF017","YAL016W","Pfam","PF13646","HEAT repeats","-",1,69,3,1028,0.231357590587967,4.95179481569261,0.284496797921136
"YAF017","YAL036C","Pfam","PF01926","50S ribosome-binding GTPase","GTP binding domain",1,69,6,1025,0.36942795755039,2.47282595145646,0.408948157660432
"YAF017","YAL036C","Pfam","PF02824","TGS domain","TGS",1,69,3,1028,0.231357590587967,4.95179481569261,0.284496797921136
"YAF017","YAL036C","Pfam","PF16897","C-terminal region of MMR_HSR1 domain","GTP binding protein, second domain",1,69,2,1029,0.179018126912051,7.42528573799391,0.234100627500374
"YAF017","YBL032W","Pfam","PF00013","KH domain","K Homology domain, type 1",1,69,3,1028,0.231357590587967,4.95179481569261,0.284496797921136
"YAF017","YBR119W;YDL051W;YDR381W;YER165W;YHL034C;YHR086W;YIL061C;YKL214C;YNL004W;YNL175C;YNL197C;YNL251C;YPL043W;YPL190C","Pfam","PF00076","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","RNA recognition motif domain",14,56,25,1006,2.07459891392651e-08,10.0105621668694,3.29169694343006e-06
"YAF017","YCL037C;YDL051W","Pfam","PF05383","La domain","La-type HTH domain",2,68,2,1029,0.0219997358843009,15.0285724619035,0.200782374904281
"YAF017","YCR077C","Pfam","PF09770","Topoisomerase II-associated protein PAT1","mRNA decay factor PAT1 domain",1,69,1,1030,0.123169019899265,14.827331963465,0.200782374904281
"YAF017","YDL030W","Pfam","PF11931","Domain of unknown function (DUF3449)","Splicing factor SF3a60 subunit  C-terminal",1,69,1,1030,0.123169019899265,14.827331963465,0.200782374904281
"YAF017","YDL030W","Pfam","PF12171","Zinc-finger double-stranded RNA-binding","Zinc finger, double-stranded RNA binding",1,69,2,1029,0.179018126912051,7.42528573799391,0.234100627500374
"YAF017","YDL030W","Pfam","PF16837","Pre-mRNA-splicing factor SF3A3, of SF3a complex, Prp9","SF3A3 domain",1,69,1,1030,0.123169019899265,14.827331963465,0.200782374904281
"YAF017","YDL030W","Pfam","PF16958","Pre-mRNA-splicing factor PRP9 N-terminus","Pre-mRNA-splicing factor Prp9, N-terminal",1,69,1,1030,0.123169019899265,14.827331963465,0.200782374904281
"YAF017","YDL087C","Pfam","PF03194","LUC7 N_terminus","Luc7-related",1,69,1,1030,0.123169019899265,14.827331963465,0.200782374904281
"YAF017","YDL175C","Pfam","PF00098","Zinc knuckle","Zinc finger, CCHC-type",1,69,2,1029,0.179018126912051,7.42528573799391,0.234100627500374
"YAF017","YDR019C","Pfam","PF01571","Aminomethyltransferase folate-binding domain","Aminomethyltransferase, folate-binding domain",1,69,1,1030,0.123169019899265,14.827331963465,0.200782374904281
