"Pulldown stock ID","Enriched Interacors ID","Analysis","Signature accession","Signature description","Interpro description","Enriched IN signature","Enriched NOT in signature","Quantified IN signature","Quantified NOT in signature","P-value","Estimate","Adjusted P-value"
"YAF033","YCL037C","ProSiteProfiles","PS50961","La-type HTH domain profile.","La-type HTH domain",1,14,1,96,0.250965250965251,6.65943962889306,0.315630458048123
"YAF033","YDL084W","ProSiteProfiles","PS51192","Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile.","Helicase superfamily 1/2, ATP-binding domain",1,14,6,91,0.645404670201682,1.08255984687558,0.65639028160937
"YAF033","YDL084W","ProSiteProfiles","PS51194","Superfamilies 1 and 2 helicase C-terminal domain profile.","Helicase, C-terminal",1,14,6,91,0.645404670201682,1.08255984687558,0.65639028160937
"YAF033","YDL084W","ProSiteProfiles","PS51195","DEAD-box RNA helicase Q motif profile.","RNA helicase, DEAD-box type, Q motif",1,14,6,91,0.645404670201682,1.08255984687558,0.65639028160937
"YAF033","YDR172W","ProSiteProfiles","PS51722","Translational (tr)-type guanine nucleotide-binding (G) domain profile.","Translational (tr)-type GTP-binding domain",1,14,5,92,0.586954890564596,1.31078482183738,0.607282332662072
"YAF033","YDR174W","ProSiteProfiles","PS50118","HMG boxes A and B DNA-binding domains profile.","High mobility group box domain",1,14,2,95,0.353106353106353,3.33917026418218,0.409671933943779
"YAF033","YDR381W;YER165W;YHL034C;YNR051C;YOL041C","ProSiteProfiles","PS50102","Eukaryotic RNA Recognition Motif (RRM) profile.","RNA recognition motif domain",5,10,7,90,0.00995285734388094,6.25958337887092,0.176893185786316
"YAF033","YER082C","ProSiteProfiles","PS50082","Trp-Asp (WD) repeats profile.","WD40 repeat",1,14,4,93,0.519610579243607,1.65186331898705,0.556892055781265
"YAF033","YER082C","ProSiteProfiles","PS50294","Trp-Asp (WD) repeats circular profile.","WD40-repeat-containing domain",1,14,5,92,0.586954890564596,1.31078482183738,0.607282332662072
"YAF033","YER165W","ProSiteProfiles","PS51309","Poly(A)-binding protein C-terminal (PABC) domain profile.","Polyadenylate-binding protein/Hyperplastic disc protein",1,14,1,96,0.250965250965251,6.65943962889306,0.315630458048123
"YAF033","YJL080C","ProSiteProfiles","PS50084","Type-1 KH domain profile.","-",1,14,1,96,0.250965250965251,6.65943962889306,0.315630458048123
"YAF033","YLR432W;YML056C","ProSiteProfiles","PS51371","CBS domain profile.","CBS domain",2,13,3,94,0.132199756052967,4.71519602052046,0.315630458048123
"YAF033","YMR229C","ProSiteProfiles","PS50126","S1 domain profile.","S1 domain",1,14,1,96,0.250965250965251,6.65943962889306,0.315630458048123
"YAF033","YNR051C","ProSiteProfiles","PS50177","Nuclear transport factor 2 domain profile.","Nuclear transport factor 2, eukaryote",1,14,1,96,0.250965250965251,6.65943962889306,0.315630458048123
"YAF033","YPL218W","ProSiteProfiles","PS51422","small GTPase SAR1 family profile.","Small GTPase superfamily, SAR1-type",1,14,1,96,0.250965250965251,6.65943962889306,0.315630458048123
"YAF033","YAL005C;YJL034W;YJR045C;YLL024C","SUPERFAMILY","SSF100920","Heat shock protein 70kD (HSP70), peptide-binding domain","Heat shock protein 70kD, peptide-binding domain superfamily",4,21,7,249,0.0105923449926648,6.6875431387458,0.176893185786316
"YAF033","YAL005C;YJL034W;YJR045C;YLL024C","SUPERFAMILY","SSF100934","Heat shock protein 70kD (HSP70), C-terminal subdomain","Heat shock protein 70kD, C-terminal domain superfamily",4,21,6,250,0.00717612863722422,7.81965041874332,0.176893185786316
"YAF033","YAL005C;YJL034W;YJR045C;YLL024C","SUPERFAMILY","SSF53067","Actin-like ATPase domain","ATPase, nucleotide binding domain",4,21,9,247,0.0202493237772556,5.17291355380535,0.21998129012564
"YAF033","YCL037C","SUPERFAMILY","SSF46785","Winged helix DNA-binding domain","Winged helix DNA-binding domain superfamily",1,24,6,250,0.482972362107504,1.73189217726494,0.529959898599392
"YAF033","YDL084W;YDR172W;YDR375C;YPL218W","SUPERFAMILY","SSF52540","P-loop containing nucleoside triphosphate hydrolases","P-loop containing nucleoside triphosphate hydrolase",4,21,29,227,0.335007199139055,1.48857061903828,0.390569368752362
"YAF033","YDR101C","SUPERFAMILY","SSF55920","Creatinase/aminopeptidase","Creatinase/aminopeptidase-like",1,24,2,254,0.244655088530648,5.23403190430606,0.315630458048123
"YAF033","YDR172W","SUPERFAMILY","SSF50447","Translation proteins","Translation protein, beta-barrel domain superfamily",1,24,8,248,0.573173301581009,1.29036821607661,0.60134075171619
"YAF033","YDR172W","SUPERFAMILY","SSF50465","EF-Tu/eEF-1alpha/eIF2-gamma C-terminal domain","Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal",1,24,3,253,0.312581789202352,3.4886097787398,0.368015012903262
