"Pulldown stock ID","Enriched Interacors ID","Analysis","Signature accession","Signature description","Interpro description","Enriched IN signature","Enriched NOT in signature","Quantified IN signature","Quantified NOT in signature","P-value","Estimate","Adjusted P-value"
"YAF003","YBL032W;YDR174W;YER151C;YER165W;YFL038C;YGL173C;YIL026C;YMR080C;YMR229C;YOR198C;YPL043W;YPL127C","MobiDBLite","mobidb-lite","consensus disorder prediction","-",12,0,198,0,1,0,1
"YAF003","YBR263W","ProSitePatterns","PS00096","Serine hydroxymethyltransferase pyridoxal-phosphate attachment site.","Serine hydroxymethyltransferase, pyridoxal phosphate binding site",1,5,2,281,0.0612074456755444,26.5328957478362,0.131855029603091
"YAF003","YER151C","ProSitePatterns","PS00972","Ubiquitin specific protease (USP) domain signature 1.","Ubiquitin specific protease, conserved site",1,5,1,282,0.0411620530565167,51.5777519374021,0.131855029603091
"YAF003","YER151C","ProSitePatterns","PS00973","Ubiquitin specific protease (USP) domain signature 2.","Ubiquitin specific protease, conserved site",1,5,1,282,0.0411620530565167,51.5777519374021,0.131855029603091
"YAF003","YLR432W;YML056C","ProSitePatterns","PS00487","IMP dehydrogenase / GMP reductase signature.","IMP dehydrogenase / GMP reductase, conserved site",2,4,3,280,0.00350470126178491,43.266760656418,0.131855029603091
"YAF003","YML085C","ProSitePatterns","PS00227","Tubulin subunits alpha, beta, and gamma signature.","Tubulin, conserved site",1,5,1,282,0.0411620530565167,51.5777519374021,0.131855029603091
"YAF003","YPR035W","ProSitePatterns","PS00180","Glutamine synthetase signature 1.","Glutamine synthetase, N-terminal conserved site",1,5,1,282,0.0411620530565167,51.5777519374021,0.131855029603091
"YAF003","YPR035W","ProSitePatterns","PS00181","Glutamine synthetase putative ATP-binding region signature.","Glutamine synthetase, glycine-rich site",1,5,1,282,0.0411620530565167,51.5777519374021,0.131855029603091
"YAF003","YBL032W","SUPERFAMILY","SSF54791","Eukaryotic type KH-domain (KH-domain type I)","K Homology domain, type 1 superfamily",1,16,2,446,0.105936281493476,13.6807224110998,0.142997571935928
"YAF003","YBR263W","SUPERFAMILY","SSF53383","PLP-dependent transferases","Pyridoxal phosphate-dependent transferase",1,16,8,440,0.286927615299166,3.42148950887934,0.298024263404659
"YAF003","YDL192W;YFL038C;YMR080C;YPL218W","SUPERFAMILY","SSF52540","P-loop containing nucleoside triphosphate hydrolases","P-loop containing nucleoside triphosphate hydrolase",4,13,57,391,0.171619244052104,2.10635349645,0.195541926556336
"YAF003","YDR174W","SUPERFAMILY","SSF47095","HMG-box","High mobility group box domain superfamily",1,16,2,446,0.105936281493476,13.6807224110998,0.142997571935928
"YAF003","YER151C","SUPERFAMILY","SSF54001","Cysteine proteinases","Papain-like cysteine peptidase superfamily",1,16,2,446,0.105936281493476,13.6807224110998,0.142997571935928
"YAF003","YER165W;YPL043W","SUPERFAMILY","SSF54928","RNA-binding domain, RBD","RNA-binding domain superfamily",2,15,8,440,0.047673065169281,7.25901235000005,0.131855029603091
"YAF003","YER165W","SUPERFAMILY","SSF63570","PABC (PABP) domain","PABC (PABP) domain",1,16,1,447,0.0718576195773083,27.1337552545613,0.131855029603091
"YAF003","YIL026C","SUPERFAMILY","SSF48371","ARM repeat","Armadillo-type fold",1,16,22,426,0.584372919468141,1.2096881744163,0.593849237081138
"YAF003","YLR432W;YML056C","SUPERFAMILY","SSF51412","Inosine monophosphate dehydrogenase (IMPDH)","-",2,15,3,445,0.0118081825927625,19.3207295562576,0.131855029603091
"YAF003","YLR432W;YML056C","SUPERFAMILY","SSF54631","CBS-domain pair","-",2,15,4,444,0.0173310759587271,14.5210054597695,0.131855029603091
"YAF003","YML085C","SUPERFAMILY","SSF52490","Tubulin nucleotide-binding domain-like","Tubulin/FtsZ, GTPase domain superfamily",1,16,1,447,0.0718576195773083,27.1337552545613,0.131855029603091
"YAF003","YML085C","SUPERFAMILY","SSF55307","Tubulin C-terminal domain-like","Tubulin/FtsZ, C-terminal",1,16,1,447,0.0718576195773083,27.1337552545613,0.131855029603091
"YAF003","YMR229C","SUPERFAMILY","SSF48452","TPR-like","Tetratricopeptide-like helical domain superfamily",1,16,7,441,0.259377091344816,3.91594813440853,0.273948838049581
"YAF003","YMR229C","SUPERFAMILY","SSF50249","Nucleic acid-binding proteins","Nucleic acid-binding, OB-fold",1,16,12,436,0.387776662505816,2.26514189573698,0.398371653284664
"YAF003","YPL127C","SUPERFAMILY","SSF46785","Winged helix DNA-binding domain","Winged helix DNA-binding domain superfamily",1,16,11,437,0.36390556907141,2.47561652899284,0.375902455963874
"YAF003","YPR035W","SUPERFAMILY","SSF54368","Glutamine synthetase, N-terminal domain","Glutamine synthetase, N-terminal domain superfamily",1,16,1,447,0.0718576195773083,27.1337552545613,0.131855029603091
"YAF003","YPR035W","SUPERFAMILY","SSF55931","Glutamine synthetase/guanido kinase","Glutamine synthetase/guanido kinase, catalytic domain",1,16,1,447,0.0718576195773083,27.1337552545613,0.131855029603091
"YAF003","YBL032W","CDD","cd00105","KH-I","-",1,15,2,328,0.132778482381339,10.7237671512198,0.153143280292588
"YAF003","YBL032W","CDD","cd02396","PCBP_like_KH","-",1,15,1,329,0.0904749937170145,21.2692021478548,0.131855029603091
"YAF003","YBR263W","CDD","cd00378","SHMT","Serine hydroxymethyltransferase",1,15,2,328,0.132778482381339,10.7237671512198,0.153143280292588
"YAF003","YDL192W","CDD","cd04150","Arf1_5_like","-",1,15,1,329,0.0904749937170145,21.2692021478548,0.131855029603091
"YAF003","YDR174W","CDD","cd01390","HMGB-UBF_HMG-box","-",1,15,2,328,0.132778482381339,10.7237671512198,0.153143280292588
"YAF003","YER151C","CDD","cd02257","Peptidase_C19","-",1,15,1,329,0.0904749937170145,21.2692021478548,0.131855029603091
"YAF003","YER165W","CDD","cd12378","RRM1_I_PABPs","-",1,15,1,329,0.0904749937170145,21.2692021478548,0.131855029603091
"YAF003","YER165W","CDD","cd12379","RRM2_I_PABPs","-",1,15,1,329,0.0904749937170145,21.2692021478548,0.131855029603091
"YAF003","YER165W","CDD","cd12380","RRM3_I_PABPs","-",1,15,1,329,0.0904749937170145,21.2692021478548,0.131855029603091
"YAF003","YER165W","CDD","cd12381","RRM4_I_PABPs","-",1,15,1,329,0.0904749937170145,21.2692021478548,0.131855029603091
"YAF003","YFL038C","CDD","cd01869","Rab1_Ypt1","-",1,15,1,329,0.0904749937170145,21.2692021478548,0.131855029603091
"YAF003","YGL173C","CDD","cd18673","PIN_XRN1-2-like","-",1,15,1,329,0.0904749937170145,21.2692021478548,0.131855029603091
"YAF003","YLR432W;YML056C","CDD","cd00381","IMPDH","IMP dehydrogenase/GMP reductase",2,14,3,327,0.0185151388497721,15.1982779781025,0.131855029603091
"YAF003","YLR432W;YML056C","CDD","cd04601","CBS_pair_IMPDH","-",2,14,3,327,0.0185151388497721,15.1982779781025,0.131855029603091
"YAF003","YML085C","CDD","cd02186","alpha_tubulin","-",1,15,1,329,0.0904749937170145,21.2692021478548,0.131855029603091
