"Pulldown stock ID","Enriched Interacors ID","Analysis","Signature accession","Signature description","Interpro description","Enriched IN signature","Enriched NOT in signature","Quantified IN signature","Quantified NOT in signature","P-value","Estimate","Adjusted P-value"
"YAF023","YCL037C;YCL059C;YCR084C;YDR037W;YDR174W;YER151C;YER165W;YGL148W;YGL173C;YGR090W;YGR233C;YHL034C;YJL050W;YJL080C;YKL145W;YLR342W;YLR398C;YML017W;YMR080C;YMR229C;YNR051C;YOL144W;YOR198C;YPR112C;YPR189W","MobiDBLite","mobidb-lite","consensus disorder prediction","-",25,0,294,0,1,0,1
"YAF023","YBR196C","ProSitePatterns","PS00174","Phosphoglucose isomerase signature 2.","Phosphoglucose isomerase, conserved site",1,18,1,305,0.113675213675214,16.5191989247434,0.269197061245057
"YAF023","YBR196C","ProSitePatterns","PS00765","Phosphoglucose isomerase signature 1.","Phosphoglucose isomerase, conserved site",1,18,1,305,0.113675213675214,16.5191989247434,0.269197061245057
"YAF023","YBR218C","ProSitePatterns","PS00188","Biotin-requiring enzymes attachment site.","Biotin-binding site",1,18,2,304,0.165811965811966,8.31358415891389,0.269197061245057
"YAF023","YBR218C;YJR109C","ProSitePatterns","PS00866","Carbamoyl-phosphate synthase subdomain signature 1.","Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain",2,17,4,302,0.0422531292807603,8.74113383306271,0.269197061245057
"YAF023","YBR218C;YJR109C","ProSitePatterns","PS00867","Carbamoyl-phosphate synthase subdomain signature 2.","Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain",2,17,4,302,0.0422531292807603,8.74113383306271,0.269197061245057
"YAF023","YCR012W","ProSitePatterns","PS00111","Phosphoglycerate kinase signature.","Phosphoglycerate kinase, conserved site",1,18,1,305,0.113675213675214,16.5191989247434,0.269197061245057
"YAF023","YCR084C","ProSitePatterns","PS00678","Trp-Asp (WD) repeats signature.","WD40 repeat, conserved site",1,18,17,289,0.671980172571852,0.944604230808778,0.687158369488259
"YAF023","YDR341C","ProSitePatterns","PS00178","Aminoacyl-transfer RNA synthetases class-I signature.","Aminoacyl-tRNA synthetase, class I, conserved site",1,18,6,300,0.34671947406468,2.7644367933527,0.388014152998226
"YAF023","YER151C","ProSitePatterns","PS00972","Ubiquitin specific protease (USP) domain signature 1.","Ubiquitin specific protease, conserved site",1,18,1,305,0.113675213675214,16.5191989247434,0.269197061245057
"YAF023","YER151C","ProSitePatterns","PS00973","Ubiquitin specific protease (USP) domain signature 2.","Ubiquitin specific protease, conserved site",1,18,1,305,0.113675213675214,16.5191989247434,0.269197061245057
"YAF023","YGL148W","ProSitePatterns","PS00787","Chorismate synthase signature 1.","Chorismate synthase, conserved site",1,18,1,305,0.113675213675214,16.5191989247434,0.269197061245057
"YAF023","YGL148W","ProSitePatterns","PS00788","Chorismate synthase signature 2.","Chorismate synthase, conserved site",1,18,1,305,0.113675213675214,16.5191989247434,0.269197061245057
"YAF023","YGL148W","ProSitePatterns","PS00789","Chorismate synthase signature 3.","Chorismate synthase, conserved site",1,18,1,305,0.113675213675214,16.5191989247434,0.269197061245057
"YAF023","YHR208W","ProSitePatterns","PS00770","Aminotransferases class-IV signature.","Aminotransferase, class IV, conserved site",1,18,1,305,0.113675213675214,16.5191989247434,0.269197061245057
