"Pulldown stock ID","Enriched Interacors ID","Analysis","Signature accession","Signature description","Interpro description","Enriched IN signature","Enriched NOT in signature","Quantified IN signature","Quantified NOT in signature","P-value","Estimate","Adjusted P-value"
"YAF016","YDR321W","ProSiteProfiles","PS51732","Asparaginase / glutaminase domain profile.","Asparaginase/glutaminase-like",1,10,1,225,0.0908603304012015,21.5006517552598,0.142938812460427
"YAF016","YEL071W","ProSiteProfiles","PS51387","PCMH-type FAD-binding domain profile.","FAD-binding domain, PCMH-type",1,10,1,225,0.0908603304012015,21.5006517552598,0.142938812460427
"YAF016","YER165W;YHL034C;YNL197C","ProSiteProfiles","PS50102","Eukaryotic RNA Recognition Motif (RRM) profile.","RNA recognition motif domain",3,8,11,215,0.0205548394213065,7.19911486897162,0.142938812460427
"YAF016","YER165W","ProSiteProfiles","PS51309","Poly(A)-binding protein C-terminal (PABC) domain profile.","Polyadenylate-binding protein/Hyperplastic disc protein",1,10,1,225,0.0908603304012015,21.5006517552598,0.142938812460427
"YAF016","YFL038C","ProSiteProfiles","PS51419","small GTPase Rab1 family profile.","-",1,10,2,224,0.133415804297315,10.8851496204354,0.166100504529297
"YAF016","YJL080C","ProSiteProfiles","PS50084","Type-1 KH domain profile.","-",1,10,1,225,0.0908603304012015,21.5006517552598,0.142938812460427
"YAF016","YLR432W;YML056C","ProSiteProfiles","PS51371","CBS domain profile.","CBS domain",2,9,3,223,0.0181986656257927,15.9214001429966,0.142938812460427
"YAF016","YOR027W","ProSiteProfiles","PS50005","TPR repeat profile.","Tetratricopeptide repeat",1,10,4,222,0.213141168840888,5.46631727446632,0.229126756503955
"YAF016","YOR027W","ProSiteProfiles","PS50293","TPR repeat region circular profile.","Tetratricopeptide repeat-containing domain",1,10,4,222,0.213141168840888,5.46631727446632,0.229126756503955
"YAF016","YPL231W","ProSiteProfiles","PS50075","Carrier protein (CP) domain profile.","Phosphopantetheine binding ACP domain",1,10,2,224,0.133415804297315,10.8851496204354,0.166100504529297
"YAF016","YBR263W","SUPERFAMILY","SSF53383","PLP-dependent transferases","Pyridoxal phosphate-dependent transferase",1,20,9,499,0.335439876875281,2.76375136333245,0.34479477383993
"YAF016","YDR127W","SUPERFAMILY","SSF51569","Aldolase","-",1,20,7,501,0.278386258288782,3.56314186980517,0.289611510639136
"YAF016","YDR127W;YMR226C;YPL231W","SUPERFAMILY","SSF51735","NAD(P)-binding Rossmann-fold domains","NAD(P)-binding domain superfamily",3,18,27,481,0.10949893239835,2.95966864254199,0.154381136451489
"YAF016","YDR127W;YFL038C","SUPERFAMILY","SSF52540","P-loop containing nucleoside triphosphate hydrolases","P-loop containing nucleoside triphosphate hydrolase",2,19,60,448,0.729586687027665,0.786293786236629,0.735286583020068
"YAF016","YDR127W","SUPERFAMILY","SSF53223","Aminoacid dehydrogenase-like, N-terminal domain","-",1,20,5,503,0.216686622095996,4.99816405527967,0.231971570542601
"YAF016","YDR127W","SUPERFAMILY","SSF55205","EPT/RTPC-like","RNA 3'-terminal phosphate cyclase/enolpyruvate transferase, alpha/beta",1,20,1,507,0.0778913902732428,24.7638580461963,0.142938812460427
"YAF016","YDR127W","SUPERFAMILY","SSF56796","Dehydroquinate synthase-like","-",1,20,1,507,0.0778913902732428,24.7638580461963,0.142938812460427
"YAF016","YDR321W","SUPERFAMILY","SSF53774","Glutaminase/Asparaginase","Asparaginase/glutaminase-like superfamily",1,20,1,507,0.0778913902732428,24.7638580461963,0.142938812460427
"YAF016","YDR368W","SUPERFAMILY","SSF51430","NAD(P)-linked oxidoreductase","NADP-dependent oxidoreductase domain superfamily",1,20,1,507,0.0778913902732428,24.7638580461963,0.142938812460427
"YAF016","YDR502C","SUPERFAMILY","SSF55973","S-adenosylmethionine synthetase","S-adenosylmethionine synthetase superfamily",1,20,2,506,0.114635756125732,12.4625050974571,0.154381136451489
"YAF016","YEL071W","SUPERFAMILY","SSF55103","FAD-linked oxidases, C-terminal domain","FAD-linked oxidase-like, C-terminal",1,20,1,507,0.0778913902732428,24.7638580461963,0.142938812460427
"YAF016","YEL071W","SUPERFAMILY","SSF56176","FAD-binding/transporter-associated domain-like","FAD-binding, type PCMH-like superfamily",1,20,1,507,0.0778913902732428,24.7638580461963,0.142938812460427
"YAF016","YER165W;YHL034C;YNL197C","SUPERFAMILY","SSF54928","RNA-binding domain, RBD","RNA-binding domain superfamily",3,18,11,497,0.0148314825031841,7.46323015338071,0.142938812460427
"YAF016","YER165W","SUPERFAMILY","SSF63570","PABC (PABP) domain","PABC (PABP) domain",1,20,1,507,0.0778913902732428,24.7638580461963,0.142938812460427
"YAF016","YGR254W","SUPERFAMILY","SSF51604","Enolase C-terminal domain-like","Enolase-like, C-terminal domain superfamily",1,20,2,506,0.114635756125732,12.4625050974571,0.154381136451489
"YAF016","YGR254W","SUPERFAMILY","SSF54826","Enolase N-terminal domain-like","Enolase-like, N-terminal",1,20,2,506,0.114635756125732,12.4625050974571,0.154381136451489
"YAF016","YHR068W","SUPERFAMILY","SSF52467","DHS-like NAD/FAD-binding domain","DHS-like NAD/FAD-binding domain superfamily",1,20,3,505,0.149982997801321,8.32853101857566,0.171980504145515
"YAF016","YJL080C","SUPERFAMILY","SSF54791","Eukaryotic type KH-domain (KH-domain type I)","K Homology domain, type 1 superfamily",1,20,1,507,0.0778913902732428,24.7638580461963,0.142938812460427
"YAF016","YKL182W;YPL231W","SUPERFAMILY","SSF52151","FabD/lysophospholipase-like","Acyl transferase/acyl hydrolase/lysophospholipase",2,19,2,506,0.00859403109896629,25.9995309987611,0.142938812460427
"YAF016","YKL182W","SUPERFAMILY","SSF54637","Thioesterase/thiol ester dehydrase-isomerase","HotDog domain superfamily",1,20,1,507,0.0778913902732428,24.7638580461963,0.142938812460427
"YAF016","YLR432W;YML056C","SUPERFAMILY","SSF51412","Inosine monophosphate dehydrogenase (IMPDH)","-",2,19,2,506,0.00859403109896629,25.9995309987611,0.142938812460427
"YAF016","YLR432W;YML056C","SUPERFAMILY","SSF54631","CBS-domain pair","-",2,19,3,505,0.0139802774495322,17.391682984887,0.142938812460427
"YAF016","YOR027W","SUPERFAMILY","SSF48452","TPR-like","Tetratricopeptide-like helical domain superfamily",1,20,7,501,0.278386258288782,3.56314186980517,0.289611510639136
"YAF016","YOR323C","SUPERFAMILY","SSF53720","ALDH-like","Aldehyde/histidinol dehydrogenase",1,20,4,504,0.183983677889268,6.2502589745209,0.202853798698424
"YAF016","YPL160W","SUPERFAMILY","SSF47323","Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases","Aminoacyl-tRNA synthetase, class Ia, anticodon-binding",1,20,6,502,0.248138975702084,4.16161512613614,0.263456196424435
"YAF016","YPL160W","SUPERFAMILY","SSF50677","ValRS/IleRS/LeuRS editing domain","Valyl/Leucyl/Isoleucyl-tRNA synthetase, editing domain",1,20,3,505,0.149982997801321,8.32853101857566,0.171980504145515
"YAF016","YPL160W","SUPERFAMILY","SSF52374","Nucleotidylyl transferase","-",1,20,10,498,0.362329592839865,2.48348932076208,0.37095648790748
"YAF016","YPL231W","SUPERFAMILY","SSF53901","Thiolase-like","Thiolase-like",1,20,3,505,0.149982997801321,8.32853101857566,0.171980504145515
"YAF016","YPL231W","SUPERFAMILY","SSF56214","4'-phosphopantetheinyl transferase","4'-phosphopantetheinyl transferase domain superfamily",1,20,1,507,0.0778913902732428,24.7638580461963,0.142938812460427
"YAF016","YER165W;YFL038C;YHL034C;YJL080C;YNL197C;YOR027W;YOR198C;YPL231W","MobiDBLite","mobidb-lite","consensus disorder prediction","-",8,0,211,0,1,0,1
"YAF016","YER165W;YHL034C;YJL080C;YMR226C;YOR027W;YOR198C;YPL231W","Coils","Coil","Coil","-",7,0,153,0,1,0,1
"YAF016","YBR263W","CDD","cd00378","SHMT","Serine hydroxymethyltransferase",1,17,2,373,0.131526988492044,10.7838692295056,0.166100504529297
"YAF016","YDR127W","CDD","cd00464","SK","Shikimate kinase/Threonine synthase-like 1",1,17,1,374,0.0896167627356286,21.4088323233613,0.142938812460427
"YAF016","YDR127W","CDD","cd00502","DHQase_I","3-dehydroquinate dehydratase type I",1,17,1,374,0.0896167627356286,21.4088323233613,0.142938812460427
"YAF016","YDR127W","CDD","cd01065","NAD_bind_Shikimate_DH","-",1,17,1,374,0.0896167627356286,21.4088323233613,0.142938812460427
"YAF016","YDR127W","CDD","cd01556","EPSP_synthase","3-phosphoshikimate 1-carboxyvinyltransferase",1,17,1,374,0.0896167627356286,21.4088323233613,0.142938812460427
"YAF016","YDR127W","CDD","cd08195","DHQS","-",1,17,1,374,0.0896167627356286,21.4088323233613,0.142938812460427
"YAF016","YDR321W","CDD","cd08964","L-asparaginase_II","L-asparaginase, type II",1,17,1,374,0.0896167627356286,21.4088323233613,0.142938812460427
"YAF016","YDR368W","CDD","cd19117","AKR_AKR3A1-2","Aldo-keto reductase family 3A",1,17,1,374,0.0896167627356286,21.4088323233613,0.142938812460427
"YAF016","YDR502C","CDD","cd18079","S-AdoMet_synt","-",1,17,2,373,0.131526988492044,10.7838692295056,0.166100504529297
"YAF016","YER165W","CDD","cd12378","RRM1_I_PABPs","-",1,17,1,374,0.0896167627356286,21.4088323233613,0.142938812460427
"YAF016","YER165W","CDD","cd12379","RRM2_I_PABPs","-",1,17,1,374,0.0896167627356286,21.4088323233613,0.142938812460427
"YAF016","YER165W","CDD","cd12380","RRM3_I_PABPs","-",1,17,1,374,0.0896167627356286,21.4088323233613,0.142938812460427
"YAF016","YER165W","CDD","cd12381","RRM4_I_PABPs","-",1,17,1,374,0.0896167627356286,21.4088323233613,0.142938812460427
"YAF016","YFL038C","CDD","cd01869","Rab1_Ypt1","-",1,17,1,374,0.0896167627356286,21.4088323233613,0.142938812460427
"YAF016","YGR254W","CDD","cd03313","enolase","Enolase",1,17,2,373,0.131526988492044,10.7838692295056,0.166100504529297
"YAF016","YHL034C","CDD","cd00590","RRM_SF","-",1,17,2,373,0.131526988492044,10.7838692295056,0.166100504529297
"YAF016","YJL080C","CDD","cd00105","KH-I","-",1,17,1,374,0.0896167627356286,21.4088323233613,0.142938812460427
"YAF016","YJL080C","CDD","cd02394","vigilin_like_KH","-",1,17,1,374,0.0896167627356286,21.4088323233613,0.142938812460427
"YAF016","YKL182W","CDD","cd03447","FAS_MaoC","-",1,17,1,374,0.0896167627356286,21.4088323233613,0.142938812460427
"YAF016","YLR432W;YML056C","CDD","cd00381","IMPDH","IMP dehydrogenase/GMP reductase",2,16,2,373,0.0112768792063278,22.667063626276,0.142938812460427
"YAF016","YLR432W;YML056C","CDD","cd04601","CBS_pair_IMPDH","-",2,16,2,373,0.0112768792063278,22.667063626276,0.142938812460427
"YAF016","YMR226C","CDD","cd05346","SDR_c5","-",1,17,1,374,0.0896167627356286,21.4088323233613,0.142938812460427
"YAF016","YNL197C","CDD","cd12245","RRM_scw1_like","-",1,17,1,374,0.0896167627356286,21.4088323233613,0.142938812460427
"YAF016","YOR323C","CDD","cd07079","ALDH_F18-19_ProA-GPR","GPR domain",1,17,1,374,0.0896167627356286,21.4088323233613,0.142938812460427
"YAF016","YPL160W","CDD","cd00812","LeuRS_core","-",1,17,1,374,0.0896167627356286,21.4088323233613,0.142938812460427
"YAF016","YPL160W","CDD","cd07959","Anticodon_Ia_Leu_AEc","-",1,17,1,374,0.0896167627356286,21.4088323233613,0.142938812460427
"YAF016","YPL231W","CDD","cd00828","elong_cond_enzymes","-",1,17,1,374,0.0896167627356286,21.4088323233613,0.142938812460427
"YAF016","YPL231W","CDD","cd08950","KR_fFAS_SDR_c_like","-",1,17,1,374,0.0896167627356286,21.4088323233613,0.142938812460427
"YAF016","YBR263W","Gene3D","G3DSA:3.40.640.10","-","Pyridoxal phosphate-dependent transferase, major domain",1,20,9,510,0.32972374397131,2.82456756854922,0.340274903778392
"YAF016","YBR263W","Gene3D","G3DSA:3.90.1150.10","Aspartate Aminotransferase","Pyridoxal phosphate-dependent transferase domain 1",1,20,7,512,0.273444303295896,3.64104170873522,0.286783049798134
"YAF016","YDR127W","Gene3D","G3DSA:1.20.1090.10","-","-",1,20,1,518,0.0763347763347764,25.3005187162251,0.142938812460427
