"Pulldown stock ID","Enriched Interacors ID","Analysis","Signature accession","Signature description","Interpro description","Enriched IN signature","Enriched NOT in signature","Quantified IN signature","Quantified NOT in signature","P-value","Estimate","Adjusted P-value"
"YAF008","YAL036C;YBL099W;YKL173W;YMR080C;YNL112W","SUPERFAMILY","SSF52540","P-loop containing nucleoside triphosphate hydrolases","P-loop containing nucleoside triphosphate hydrolase",5,29,91,463,0.678625153190436,0.877414557014629,0.696431644090477
"YAF008","YAL036C","SUPERFAMILY","SSF81271","TGS-like","TGS-like",1,33,4,550,0.258337184344264,4.14812067098823,0.303115629630603
"YAF008","YBL099W","SUPERFAMILY","SSF47917","C-terminal domain of alpha and beta subunits of F1 ATP synthase","-",1,33,3,551,0.212488937558272,5.53241882295249,0.265234418512453
"YAF008","YBL099W","SUPERFAMILY","SSF50615","N-terminal domain of alpha and beta subunits of F1 ATP synthase","ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain superfamily",1,33,3,551,0.212488937558272,5.53241882295249,0.265234418512453
"YAF008","YBR119W;YDR381W;YER165W;YHL034C;YHR086W;YNL175C","SUPERFAMILY","SSF54928","RNA-binding domain, RBD","RNA-binding domain superfamily",6,28,24,530,0.00516287710185557,4.70868962654033,0.212684984805608
"YAF008","YCL037C;YPL127C","SUPERFAMILY","SSF46785","Winged helix DNA-binding domain","Winged helix DNA-binding domain superfamily",2,32,12,542,0.191301495861175,2.81521702543286,0.243978719359179
"YAF008","YDR101C","SUPERFAMILY","SSF55920","Creatinase/aminopeptidase","Creatinase/aminopeptidase-like",1,33,2,552,0.163894788514681,8.29218099733036,0.233643200033626
"YAF008","YDR174W","SUPERFAMILY","SSF47095","HMG-box","High mobility group box domain superfamily",1,33,2,552,0.163894788514681,8.29218099733036,0.233643200033626
"YAF008","YDR235W;YML046W;YMR229C","SUPERFAMILY","SSF48452","TPR-like","Tetratricopeptide-like helical domain superfamily",3,31,10,544,0.0339386901870412,5.23476581942424,0.212684984805608
"YAF008","YER151C","SUPERFAMILY","SSF54001","Cysteine proteinases","Papain-like cysteine peptidase superfamily",1,33,1,553,0.112395554473919,16.5238979258833,0.212684984805608
"YAF008","YER165W","SUPERFAMILY","SSF63570","PABC (PABP) domain","PABC (PABP) domain",1,33,1,553,0.112395554473919,16.5238979258833,0.212684984805608
"YAF008","YFL016C","SUPERFAMILY","SSF46565","Chaperone J-domain","Chaperone J-domain superfamily",1,33,5,549,0.301590247349916,3.31581614219052,0.341349733334953
"YAF008","YFL016C","SUPERFAMILY","SSF49493","HSP40/DnaJ peptide-binding domain","HSP40/DnaJ peptide-binding",1,33,4,550,0.258337184344264,4.14812067098823,0.303115629630603
"YAF008","YFL016C","SUPERFAMILY","SSF57938","DnaJ/Hsp40 cysteine-rich domain","Heat shock protein DnaJ, cysteine-rich domain superfamily",1,33,3,551,0.212488937558272,5.53241882295249,0.265234418512453
"YAF008","YGL049C","SUPERFAMILY","SSF101489","Eukaryotic initiation factor 4f subunit eIF4g, eIF4e-binding domain","eIF4G, eIF4e-binding domain superfamily",1,33,2,552,0.163894788514681,8.29218099733036,0.233643200033626
"YAF008","YGL049C;YMR288W","SUPERFAMILY","SSF48371","ARM repeat","Armadillo-type fold",2,32,29,525,0.54812262343291,1.13120662556856,0.572519772843871
