"Pulldown stock ID","Enriched Interacors ID","Analysis","Signature accession","Signature description","Interpro description","Enriched IN signature","Enriched NOT in signature","Quantified IN signature","Quantified NOT in signature","P-value","Estimate","Adjusted P-value"
"YAF037","YAL035W;YDR172W;YER025W;YHR089C;YOR063W;YPR080W","SUPERFAMILY","SSF50447","Translation proteins","Translation protein, beta-barrel domain superfamily",6,93,10,427,0.056007434496681,2.74807254157786,0.501168599148614
"YAF037","YAL035W","SUPERFAMILY","SSF52156","Initiation factor IF2/eIF5b, domain 3","Translation initiation factor IF-2, domain 3 superfamily",1,98,1,436,0.335569814479007,4.43153622035859,0.501168599148614
"YAF037","YAL035W;YBR164C;YDL160C;YDR091C;YDR172W;YDR190C;YER006W;YER025W;YFL005W;YFR009W;YGL078C;YGR173W;YJR121W;YLR249W;YOR046C;YPL226W;YPL235W;YPR080W","SUPERFAMILY","SSF52540","P-loop containing nucleoside triphosphate hydrolases","P-loop containing nucleoside triphosphate hydrolase",18,81,62,375,0.195603454967421,1.34329548996074,0.501168599148614
"YAF037","YBL092W","SUPERFAMILY","SSF52042","Ribosomal protein L32e","Ribosomal protein L32e superfamily",1,98,1,436,0.335569814479007,4.43153622035859,0.501168599148614
"YAF037","YBR143C;YPL131W","SUPERFAMILY","SSF53137","Translational machinery components","-",2,97,3,434,0.231230369067103,2.97460959290131,0.501168599148614
"YAF037","YBR143C;YHL033C;YLL045C;YOR369C","SUPERFAMILY","SSF55315","L30e-like","50S ribosomal protein L30e-like",4,95,6,431,0.0935351826031269,3.01603781016798,0.501168599148614
"YAF037","YBR143C","SUPERFAMILY","SSF55481","N-terminal domain of eukaryotic peptide chain release factor subunit 1, ERF1","Peptide Chain Release Factor eRF1/aRF1, N-terminal",1,98,1,436,0.335569814479007,4.43153622035859,0.501168599148614
"YAF037","YCL064C;YGL026C","SUPERFAMILY","SSF53686","Tryptophan synthase beta subunit-like PLP-dependent enzymes","Tryptophan synthase beta subunit-like PLP-dependent enzyme",2,97,4,433,0.306911043941598,2.22780985054795,0.501168599148614
"YAF037","YCR009C","SUPERFAMILY","SSF103657","BAR/IMD domain-like","AH/BAR domain superfamily",1,98,2,435,0.458750691569977,2.21529191984671,0.5421061651671
"YAF037","YDL140C","SUPERFAMILY","SSF64484","beta and beta-prime subunits of DNA dependent RNA-polymerase","-",1,98,5,432,0.708173071133304,0.881832204865677,0.728020971109013
"YAF037","YDL145C","SUPERFAMILY","SSF50969","YVTN repeat-like/Quinoprotein amine dehydrogenase","Quinoprotein amine dehydrogenase, beta chain-like",1,98,1,436,0.335569814479007,4.43153622035859,0.501168599148614
"YAF037","YDL145C;YGL137W;YLR208W;YMR116C;YMR146C","SUPERFAMILY","SSF50978","WD40 repeat-like","WD40-repeat-containing domain superfamily",5,94,8,429,0.0722730425971287,2.84503662866296,0.501168599148614
"YAF037","YDL191W","SUPERFAMILY","SSF46561","Ribosomal protein L29 (L29p)","Ribosomal protein L29/L35 superfamily",1,98,1,436,0.335569814479007,4.43153622035859,0.501168599148614
"YAF037","YDR091C","SUPERFAMILY","SSF54862","4Fe-4S ferredoxins","-",1,98,1,436,0.335569814479007,4.43153622035859,0.501168599148614
"YAF037","YDR129C","SUPERFAMILY","SSF47473","EF-hand","EF-hand domain pair",1,98,1,436,0.335569814479007,4.43153622035859,0.501168599148614
"YAF037","YDR129C","SUPERFAMILY","SSF47576","Calponin-homology domain, CH-domain","CH domain superfamily",1,98,1,436,0.335569814479007,4.43153622035859,0.501168599148614
"YAF037","YDR172W;YER025W;YPR080W","SUPERFAMILY","SSF50465","EF-Tu/eEF-1alpha/eIF2-gamma C-terminal domain","Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal",3,96,4,433,0.121421993635998,3.3724159851423,0.501168599148614
"YAF037","YDR211W;YER110C;YGL195W;YGL206C;YGR162W;YHR027C;YJL109C;YLR249W;YNL287W;YPL226W;YPR036W;YPR041W","SUPERFAMILY","SSF48371","ARM repeat","Armadillo-type fold",12,87,23,414,0.0159010271073081,2.47749457238556,0.501168599148614
"YAF037","YDR211W","SUPERFAMILY","SSF51161","Trimeric LpxA-like enzymes","Trimeric LpxA-like superfamily",1,98,2,435,0.458750691569977,2.21529191984671,0.5421061651671
"YAF037","YDR211W","SUPERFAMILY","SSF53448","Nucleotide-diphospho-sugar transferases","Nucleotide-diphospho-sugar transferases",1,98,5,432,0.708173071133304,0.881832204865677,0.728020971109013
"YAF037","YDR423C","SUPERFAMILY","SSF111430","YAP1 redox domain","Yap1 redox domain superfamily",1,98,1,436,0.335569814479007,4.43153622035859,0.501168599148614
"YAF037","YDR423C","SUPERFAMILY","SSF57959","Leucine zipper domain","-",1,98,1,436,0.335569814479007,4.43153622035859,0.501168599148614
"YAF037","YDR432W;YER165W;YOL041C;YOR361C","SUPERFAMILY","SSF54928","RNA-binding domain, RBD","RNA-binding domain superfamily",4,95,11,426,0.293744800517972,1.62891258122044,0.501168599148614
