"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-SCE-113418","Formation of the Early Elongation Complex","15/25","15/390",7.64391016435773e-21,1.75809933780228e-19,1.04600875933316e-19,"853301/854385/853098/852013/854157/854322/854791/856317/856547/851415/852888/852451/854399/854999/852810",15
"R-SCE-72086","mRNA Capping","15/25","15/390",7.64391016435773e-21,1.75809933780228e-19,1.04600875933316e-19,"853301/854385/853098/852013/854157/854322/854791/856317/856547/851415/852888/852451/854399/854999/852810",15
"R-SCE-77075","RNA Pol II CTD phosphorylation and interaction with CE","15/25","15/390",7.64391016435773e-21,1.75809933780228e-19,1.04600875933316e-19,"853301/854385/853098/852013/854157/854322/854791/856317/856547/851415/852888/852451/854399/854999/852810",15
"R-SCE-6796648","TP53 Regulates Transcription of DNA Repair Genes","15/25","16/390",1.19244998563981e-19,1.64558098018294e-18,9.79064198735845e-19,"853301/854385/853098/852013/854157/854322/854791/856317/856547/851415/852888/852451/854399/854999/852810",15
"R-SCE-6807505","RNA polymerase II transcribes snRNA genes","15/25","16/390",1.19244998563981e-19,1.64558098018294e-18,9.79064198735845e-19,"853301/854385/853098/852013/854157/854322/854791/856317/856547/851415/852888/852451/854399/856882/852810",15
"R-SCE-75955","RNA Polymerase II Transcription Elongation","16/25","19/390",1.84368292284621e-19,2.12023536127314e-18,1.26146726300004e-18,"853301/854385/853098/852013/854157/854322/854791/856317/856547/851415/852888/852451/854399/854999/855974/852810",16
"R-SCE-674695","RNA Polymerase II Pre-transcription Events","16/25","20/390",9.00808968545771e-19,8.87940268995117e-18,5.28293981553159e-18,"853301/854385/853098/852013/854157/854322/854791/856317/856547/851415/852888/852451/854399/854999/855974/852810",16
"R-SCE-73776","RNA Polymerase II Promoter Escape","14/25","15/390",3.8122264692424e-18,2.39130569434296e-17,1.42274480670291e-17,"853301/854385/853098/852013/854157/854322/854791/856317/856547/851415/852888/852451/854399/852810",14
"R-SCE-73779","RNA Polymerase II Transcription Pre-Initiation And Promoter Opening","14/25","15/390",3.8122264692424e-18,2.39130569434296e-17,1.42274480670291e-17,"853301/854385/853098/852013/854157/854322/854791/856317/856547/851415/852888/852451/854399/852810",14
"R-SCE-75953","RNA Polymerase II Transcription Initiation","14/25","15/390",3.8122264692424e-18,2.39130569434296e-17,1.42274480670291e-17,"853301/854385/853098/852013/854157/854322/854791/856317/856547/851415/852888/852451/854399/852810",14
"R-SCE-76042","RNA Polymerase II Transcription Initiation And Promoter Clearance","14/25","15/390",3.8122264692424e-18,2.39130569434296e-17,1.42274480670291e-17,"853301/854385/853098/852013/854157/854322/854791/856317/856547/851415/852888/852451/854399/852810",14
"R-SCE-73857","RNA Polymerase II Transcription","17/25","25/390",4.49761815986511e-18,2.58613044192244e-17,1.53865884416438e-17,"853301/854385/853098/852013/854157/854322/854791/856317/856547/851415/852888/852451/854399/854999/855974/856882/852810",17
"R-SCE-9018519","Estrogen-dependent gene expression","16/25","23/390",4.25169589592084e-17,2.2566693601426e-16,1.34264080923816e-16,"853301/854385/853098/852013/854157/854322/854791/856317/856547/851415/852888/852451/854399/855701/852294/852810",16
"R-SCE-212436","Generic Transcription Pathway","15/25","20/390",1.04354842620656e-16,4.80032276055019e-16,2.85602727172322e-16,"853301/854385/853098/852013/854157/854322/854791/856317/856547/851415/852888/852451/854399/854999/852810",15
"R-SCE-3700989","Transcriptional Regulation by TP53","15/25","20/390",1.04354842620656e-16,4.80032276055019e-16,2.85602727172322e-16,"853301/854385/853098/852013/854157/854322/854791/856317/856547/851415/852888/852451/854399/854999/852810",15
"R-SCE-6781823","Formation of TC-NER Pre-Incision Complex","12/25","12/390",2.38681789782994e-16,9.68767264413327e-16,5.76383269445e-16,"853301/854385/852013/854157/854322/854791/856317/856547/851415/852451/854399/852810",12
"R-SCE-6782135","Dual incision in TC-NER","12/25","12/390",2.38681789782994e-16,9.68767264413327e-16,5.76383269445e-16,"853301/854385/852013/854157/854322/854791/856317/856547/851415/852451/854399/852810",12
"R-SCE-74160","Gene expression (Transcription)","19/25","42/390",6.13086575244167e-16,2.35016520510264e-15,1.39826762774985e-15,"853301/854385/853098/852013/854157/854322/854791/856317/856547/851415/852888/852451/854399/854999/855974/855701/852294/856882/852810",19
"R-SCE-8939211","ESR-mediated signaling","16/25","27/390",2.05908937610647e-15,7.47774562901824e-15,4.44900197607492e-15,"853301/854385/853098/852013/854157/854322/854791/856317/856547/851415/852888/852451/854399/855701/852294/852810",16
"R-SCE-73894","DNA Repair","14/25","20/390",8.56877577779335e-15,2.95622764333871e-14,1.75885397544179e-14,"853301/854385/852013/854157/854322/854791/856317/856547/851415/852451/854399/855701/852294/852810",14
"R-SCE-9006931","Signaling by Nuclear Receptors","16/25","29/390",1.02241446103645e-14,3.35936180054834e-14,1.99870496142464e-14,"853301/854385/853098/852013/854157/854322/854791/856317/856547/851415/852888/852451/854399/855701/852294/852810",16
"R-SCE-5696398","Nucleotide Excision Repair","12/25","14/390",2.03613725835842e-14,5.85389461778047e-14,3.48286636298151e-14,"853301/854385/852013/854157/854322/854791/856317/856547/851415/852451/854399/852810",12
"R-SCE-6781827","Transcription-Coupled Nucleotide Excision Repair (TC-NER)","12/25","14/390",2.03613725835842e-14,5.85389461778047e-14,3.48286636298151e-14,"853301/854385/852013/854157/854322/854791/856317/856547/851415/852451/854399/852810",12
"R-SCE-6782210","Gap-filling DNA repair synthesis and ligation in TC-NER","12/25","14/390",2.03613725835842e-14,5.85389461778047e-14,3.48286636298151e-14,"853301/854385/852013/854157/854322/854791/856317/856547/851415/852451/854399/852810",12
"R-SCE-162582","Signal Transduction","17/25","44/390",1.9014996283977e-12,5.24813897437765e-12,3.12246254768465e-12,"853301/854385/853098/852013/854157/854322/854791/856317/856547/851415/852888/852451/854399/855701/852294/850803/852810",17
"R-SCE-8953854","Metabolism of RNA","18/25","127/390",3.48204798833858e-05,9.24081966136009e-05,5.49797050790303e-05,"853301/854385/853098/852013/854157/854322/854791/856317/856547/851415/852888/852451/854399/851636/854999/855068/855972/852810",18
"R-SCE-73772","RNA Polymerase I Promoter Escape","7/25","19/390",5.64753978408633e-05,0.00013437249831102,7.99470241667393e-05,"854385/856317/856547/852451/854399/855701/852294",7
"R-SCE-73854","RNA Polymerase I Promoter Clearance","7/25","19/390",5.64753978408633e-05,0.00013437249831102,7.99470241667393e-05,"854385/856317/856547/852451/854399/855701/852294",7
"R-SCE-73864","RNA Polymerase I Transcription","7/25","19/390",5.64753978408633e-05,0.00013437249831102,7.99470241667393e-05,"854385/856317/856547/852451/854399/855701/852294",7
"R-SCE-73762","RNA Polymerase I Transcription Initiation","5/25","10/390",0.000146386712133051,0.000336689437906018,0.000200318658708386,"854385/856317/856547/852451/854399",5
