"my_label","Protein.IDs","Gene.names","Peptides","Razor...unique.peptides","Unique.peptides","Sequence.coverage....","Mol..weight..kDa.","Sequence.length","log2.LFQ.intensity.YKAF000_01","log2.LFQ.intensity.YKAF000_02","log2.LFQ.intensity.YKAF000_03","log2.LFQ.intensity.YKAF000_04","log2.LFQ.intensity.YKAF003_01","log2.LFQ.intensity.YKAF003_02","log2.LFQ.intensity.YKAF003_03","log2.LFQ.intensity.YKAF003_04","imputed.log2.LFQ.intensity.YKAF000_01","imputed.log2.LFQ.intensity.YKAF000_02","imputed.log2.LFQ.intensity.YKAF000_03","imputed.log2.LFQ.intensity.YKAF000_04","imputed.log2.LFQ.intensity.YKAF003_01","imputed.log2.LFQ.intensity.YKAF003_02","imputed.log2.LFQ.intensity.YKAF003_03","imputed.log2.LFQ.intensity.YKAF003_04","mean2_naimp_meas_YKAF000","mean2_naimp_meas_YKAF003","value_count_YKAF000","value_count_YKAF003","pvalue_YKAF003_YKAF000","log10.pvalue_YKAF003_YKAF000","difference_YKAF003_YKAF000","enriched_YKAF003_YKAF000"
"BI4","Q0120","BI4",2,2,2,2.7,74.579,638,30.0437474030468,30.3515287471721,NA,NA,29.907989490095,30.2375162972974,30.5815432204823,30.3094297928189,30.0437474030468,30.3515287471721,25.1943670534625,25.6094343397907,29.907989490095,30.2375162972974,30.5815432204823,30.3094297928189,27.799769385868,30.2591197001734,2,4,0.174384270285318,0.758492691630383,2.45935031430539,FALSE
"VAR1","Q0140","VAR1",9,9,9,26.9,47.123,398,27.5658714109867,27.9685663435915,27.6571052477552,27.8383389353363,28.1365797906961,27.9204236430864,28.0066732915337,28.4240627210036,27.5658714109867,27.9685663435915,27.6571052477552,27.8383389353363,28.1365797906961,27.9204236430864,28.0066732915337,28.4240627210036,27.7574704844174,28.1219348615799,4,4,0.044378217643143,1.35283014426922,0.364464377162509,FALSE
"REP1","R0020C","REP1",8,8,8,27.1,43.231,373,30.1351612835319,29.1027703918247,29.4411258666159,28.9738298588711,28.9777649313166,29.0739309482876,29.3260527005515,28.8597612095988,30.1351612835319,29.1027703918247,29.4411258666159,28.9738298588711,28.9777649313166,29.0739309482876,29.3260527005515,28.8597612095988,29.4132218502109,29.0593774474386,4,4,0.274858276336344,0.56089118133573,-0.353844402772275,FALSE
"REP2","R0040C","REP2",6,6,6,39.2,33.196,296,28.8584278910224,27.9808181399045,28.6971033156872,28.3978286069564,28.3930480166103,28.2277506269397,27.8042742267607,27.2126176460577,28.8584278910224,27.9808181399045,28.6971033156872,28.3978286069564,28.3930480166103,28.2277506269397,27.8042742267607,27.2126176460577,28.4835444883926,27.9094226290921,4,4,0.133522083235289,0.874446900336205,-0.574121859300522,FALSE
"TFC3","YAL001C","TFC3",6,6,6,7.1,132.11,1160,25.9366541123008,NA,25.9884338465521,26.229878631404,25.8422053041656,26.8099260796611,26.2071344038845,26.2097206298001,25.9366541123008,25.2747211565243,25.9884338465521,26.229878631404,25.8422053041656,26.8099260796611,26.2071344038845,26.2097206298001,25.8574219366953,26.2672466043778,3,4,0.202315801985177,0.693970195098941,0.409824667682543,FALSE
"EFB1","YAL003W","EFB1",14,14,14,71.8,22.627,206,35.1728441961089,35.1402601761093,35.4431976993926,35.3662945195616,35.4242354567297,35.2068201127945,35.2635351637478,35.3471453054082,35.1728441961089,35.1402601761093,35.4431976993926,35.3662945195616,35.4242354567297,35.2068201127945,35.2635351637478,35.3471453054082,35.2806491477931,35.31043400967,4,4,0.747623739161994,0.126316916999767,0.0297848618769478,FALSE
"SSA1","YAL005C","SSA1",38,9,9,76.6,69.656,642,33.7380174971875,33.7045016620295,34.0676785484018,34.0573048987192,34.1542125547759,33.8981641417935,33.7877022611851,34.0387038942403,33.7380174971875,33.7045016620295,34.0676785484018,34.0573048987192,34.1542125547759,33.8981641417935,33.7877022611851,34.0387038942403,33.8918756515845,33.9696957129987,4,4,0.563987239610905,0.248730721955066,0.0778200614141724,FALSE
"ERP2","YAL007C","ERP2",4,3,3,27.4,24.063,215,28.4933147432452,29.3911846116188,29.1716920533582,29.3325547098733,29.1926291909576,28.9538808930147,29.9525485082284,29.4429061415241,28.4933147432452,29.3911846116188,29.1716920533582,29.3325547098733,29.1926291909576,28.9538808930147,29.9525485082284,29.4429061415241,29.0971865295239,29.3854911834312,4,4,0.369611109951971,0.432254983019251,0.288304653907307,FALSE
"CYS3","YAL012W","CYS3",13,13,13,61.9,42.542,394,34.5586464098416,34.2623454275386,34.2852667783722,34.4493609650925,34.4265491219857,34.8171696240391,34.2908377002857,34.3930480166103,34.5586464098416,34.2623454275386,34.2852667783722,34.4493609650925,34.4265491219857,34.8171696240391,34.2908377002857,34.3930480166103,34.3889048952112,34.4819011157302,4,4,0.522191525130436,0.282170180806742,0.0929962205189554,FALSE
"SYN8","YAL014C","SYN8",2,2,2,9.4,29.048,255,NA,NA,26.8193375179721,26.3906558673777,NA,NA,NA,26.3242466207865,24.2608401092268,25.2092148636898,26.8193375179721,26.3906558673777,25.192291235454,25.5352524486496,25.32367785011,26.3242466207865,25.6700120895666,25.59386703875,2,1,0.909921553990924,0.0409960473903221,-0.0761450508166135,FALSE
