"my_label","Protein.IDs","Gene.names","Peptides","Razor...unique.peptides","Unique.peptides","Sequence.coverage....","Mol..weight..kDa.","Sequence.length","log2.LFQ.intensity.YKAF000_01","log2.LFQ.intensity.YKAF000_02","log2.LFQ.intensity.YKAF000_03","log2.LFQ.intensity.YKAF000_04","log2.LFQ.intensity.YKAF008_01","log2.LFQ.intensity.YKAF008_02","log2.LFQ.intensity.YKAF008_03","log2.LFQ.intensity.YKAF008_04","imputed.log2.LFQ.intensity.YKAF000_01","imputed.log2.LFQ.intensity.YKAF000_02","imputed.log2.LFQ.intensity.YKAF000_03","imputed.log2.LFQ.intensity.YKAF000_04","imputed.log2.LFQ.intensity.YKAF008_01","imputed.log2.LFQ.intensity.YKAF008_02","imputed.log2.LFQ.intensity.YKAF008_03","imputed.log2.LFQ.intensity.YKAF008_04","mean2_naimp_meas_YKAF000","mean2_naimp_meas_YKAF008","value_count_YKAF000","value_count_YKAF008","pvalue_YKAF008_YKAF000","log10.pvalue_YKAF008_YKAF000","difference_YKAF008_YKAF000","enriched_YKAF008_YKAF000"
"BI4","Q0120","BI4",2,2,2,2.7,74.579,638,30.0305217874723,30.1483144275195,NA,NA,29.9671924790549,29.8387897446687,29.1963630034852,NA,30.0305217874723,30.1483144275195,25.3930280857908,25.3014448828801,29.9671924790549,29.8387897446687,29.1963630034852,24.726117108506,27.7183272959157,28.4321155839287,2,3,0.713317262999057,0.146717265486522,0.713788288013024,FALSE
"VAR1","Q0140","VAR1",7,7,7,21.9,47.123,398,27.2483478864128,27.7738560488394,27.553400672298,27.9394368126575,28.0536200170381,26.7776857426609,26.7209065813644,26.8998897654304,27.2483478864128,27.7738560488394,27.553400672298,27.9394368126575,28.0536200170381,26.7776857426609,26.7209065813644,26.8998897654304,27.6287603550519,27.1130255266235,4,4,0.209352423792477,0.679122006668598,-0.51573482842846,FALSE
"REP1","R0020C","REP1",6,6,6,21.7,43.231,373,30.02591021896,28.8941465106361,29.1224056238026,28.5833378407422,NA,NA,NA,NA,30.02591021896,28.8941465106361,29.1224056238026,28.5833378407422,24.3810167913758,24.5892213794186,24.4348806051408,25.6487583381706,29.1564500485352,24.7634692785265,4,0,5.20110637016077e-05,4.28390426418297,-4.39298077000874,TRUE
"REP2","R0040C","REP2",6,6,6,39.2,33.196,296,29.041921371651,28.3550627038976,28.6686130587182,28.4800051940202,NA,NA,NA,NA,29.041921371651,28.3550627038976,28.6686130587182,28.4800051940202,24.900068048798,25.6383872358493,23.9657833827102,25.2901278733484,28.6364005820717,24.9485916351765,4,0,0.00069716512652056,3.15666434522596,-3.68780894689525,TRUE
"TFC3","YAL001C","TFC3",8,8,8,9.2,132.11,1160,27.1614448484483,NA,27.3940299428289,27.4552873315376,27.0880056377729,NA,27.3866491540113,NA,27.1614448484483,25.4159549882155,27.3940299428289,27.4552873315376,27.0880056377729,24.6397425392578,27.3866491540113,24.4115090224837,26.8566792777576,25.8814765883814,3,2,0.339515487725256,0.469140409659774,-0.975202689376122,FALSE
"EFB1","YAL003W","EFB1",13,13,13,68.4,22.627,206,35.0410727850812,34.9471142946914,35.3178689414917,35.2233508163791,35.5094694062111,35.3164534771725,35.1389642622711,35.2107801197999,35.0410727850812,34.9471142946914,35.3178689414917,35.2233508163791,35.5094694062111,35.3164534771725,35.1389642622711,35.2107801197999,35.1323517094109,35.2939168163637,4,4,0.215372645779525,0.666809456754824,0.1615651069528,FALSE
"SSA1","YAL005C","SSA1",40,10,10,76.8,69.656,642,33.724968667808,33.7918796242437,34.1509640059334,34.1739239601747,34.3110146288314,34.0663157379932,33.9291009168505,34.3406942797895,33.724968667808,33.7918796242437,34.1509640059334,34.1739239601747,34.3110146288314,34.0663157379932,33.9291009168505,34.3406942797895,33.9604340645399,34.1617813908662,4,4,0.239273481285926,0.621105431638872,0.201347326326221,FALSE
"ERP2","YAL007C","ERP2",4,3,3,27.4,24.063,215,28.7611327577821,28.8488511303025,29.2026813860262,28.8433500172747,29.1465190346398,29.4350763229587,28.0299691769382,28.841551631268,28.7611327577821,28.8488511303025,29.2026813860262,28.8433500172747,29.1465190346398,29.4350763229587,28.0299691769382,28.841551631268,28.9140038228464,28.8632790414512,4,4,0.881970381241831,0.0545459993117418,-0.0507247813952318,FALSE
"CYS3","YAL012W","CYS3",14,14,14,69.5,42.542,394,34.4886133786078,34.1979159111601,34.2443097433651,34.4188433699002,34.3904877762918,34.3704253832929,34.6835832685526,34.5098822873148,34.4886133786078,34.1979159111601,34.2443097433651,34.4188433699002,34.3904877762918,34.3704253832929,34.6835832685526,34.5098822873148,34.3374206007583,34.488594678863,4,4,0.180926865043052,0.742496941853871,0.151174078104724,FALSE
"SYN8","YAL014C","SYN8",2,2,2,9.4,29.048,255,NA,NA,26.8244452693849,26.4906167376038,NA,NA,NA,NA,25.6629569134507,25.8214257525722,26.8244452693849,26.4906167376038,25.1002534112362,25.3414052349593,24.8743962542367,24.3986352948809,26.1998611682529,24.9286725488283,2,0,0.0113710096661837,1.94420097128552,-1.27118861942458,TRUE
"TPD3","YAL016W","TPD3",15,15,15,34.8,70.907,635,31.364006074109,31.3121919690578,31.3448262578358,31.5202363633979,31.6496304591615,31.5610162657613,31.5101299592715,31.4547874524841,31.364006074109,31.3121919690578,31.3448262578358,31.5202363633979,31.6496304591615,31.5610162657613,31.5101299592715,31.4547874524841,31.3853151661001,31.5438910341696,4,4,0.0436184669720019,1.36032960233595,0.158575868069487,FALSE
"PSK1","YAL017W","PSK1",11,11,9,8.9,152.33,1356,27.4908309280491,27.4340423894802,27.0099862709715,26.2616966780437,NA,26.9083904216849,27.4501823871732,27.062293560443,27.4908309280491,27.4340423894802,27.0099862709715,26.2616966780437,25.3516816126581,26.9083904216849,27.4501823871732,27.062293560443,27.0491390666361,26.6931369954898,4,3,0.540128285551854,0.267503078898348,-0.356002071146314,FALSE
"FUN30","YAL019W","FUN30",13,13,13,15.5,128.51,1131,28.7274783459867,29.3911846116188,29.4393433921472,29.4478792556791,28.7773408590802,29.0693538419356,29.064916315798,28.9317094506329,28.7274783459867,29.3911846116188,29.4393433921472,29.4478792556791,28.7773408590802,29.0693538419356,29.064916315798,28.9317094506329,29.251471401358,28.9608301168617,4,4,0.199036066569755,0.701068219605483,-0.290641284496306,FALSE
"CCR4","YAL021C","CCR4",12,12,12,19.4,94.669,837,29.6240097166719,29.4321913895256,29.8702513300527,29.551256681153,29.293972704189,29.4696992878938,29.1934754291522,29.4499660099638,29.6240097166719,29.4321913895256,29.8702513300527,29.551256681153,29.293972704189,29.4696992878938,29.1934754291522,29.4499660099638,29.6194272793508,29.3517783577997,4,4,0.0609640078614964,1.21492648958649,-0.267648921551121,FALSE
"PMT2","YAL023C","PMT2",8,8,7,18.8,86.869,759,32.0157125799393,32.0337411369879,31.8105007746167,31.8808481484008,31.8661808974956,31.3313805286499,30.8009310693182,31.6131583865454,32.0157125799393,32.0337411369879,31.8105007746167,31.8808481484008,31.8661808974956,31.3313805286499,30.8009310693182,31.6131583865454,31.9352006599862,31.4029127205023,4,4,0.0993099272659572,1.00300733618406,-0.532287939483904,FALSE
"MAK16","YAL025C","MAK16",4,4,4,19.6,35.695,306,29.2208036310021,28.4729362696809,28.5869919584159,28.7688811248485,28.289692260522,28.5674680352706,28.4039344863976,NA,29.2208036310021,28.4729362696809,28.5869919584159,28.7688811248485,28.289692260522,28.5674680352706,28.4039344863976,24.4103952813896,28.7624032459868,27.4178725158949,4,3,0.273872769906275,0.562451145793965,-1.34453073009192,FALSE
"DRS2","YAL026C","DRS2",10,10,10,8.8,153.76,1355,28.2141937035158,28.5963002758728,28.1996660551714,28.2195117616156,27.785190025073,28.1913589022321,28.5704026628771,28.2565141491251,28.2141937035158,28.5963002758728,28.1996660551714,28.2195117616156,27.785190025073,28.1913589022321,28.5704026628771,28.2565141491251,28.3074179490439,28.2008664348268,4,4,0.595806432209464,0.224894812537562,-0.106551514217109,FALSE
"MYO4","YAL029C","MYO4",20,15,15,17.1,169.34,1471,28.2726648072818,28.3226402712179,28.5310723420412,27.6158262743831,27.2950025042452,28.0563619480865,28.3821200126307,27.0948660187269,28.2726648072818,28.3226402712179,28.5310723420412,27.6158262743831,27.2950025042452,28.0563619480865,28.3821200126307,27.0948660187269,28.185550923731,27.7070876209223,4,4,0.24464722737881,0.61145970179616,-0.478463302808688,FALSE
"SNC1","YAL030W","SNC1",3,2,2,43.6,13.201,117,27.6297175786649,27.7798159220287,28.2979782169836,27.8456546663369,27.6177188853051,27.8925551378275,26.8011932555285,27.9204804342782,27.6297175786649,27.7798159220287,28.2979782169836,27.8456546663369,27.6177188853051,27.8925551378275,26.8011932555285,27.9204804342782,27.8882915960035,27.5579869282348,4,4,0.321999995934039,0.492144133788096,-0.330304667768718,FALSE
"PRP45","YAL032C","PRP45",3,3,3,7.9,42.482,379,NA,25.976465358464,NA,25.956641671951,NA,25.8287121664791,NA,NA,24.6991820977408,25.976465358464,25.2916126285812,25.956641671951,24.8569613318891,25.8287121664791,24.0526086327078,25.2223436302339,25.4809754391843,24.9901564403275,2,1,0.348001094831075,0.458419389736331,-0.490818998856813,FALSE
"MTW1","YAL034W-A","MTW1",4,4,4,26,33.243,289,NA,NA,NA,NA,NA,25.7819179550002,25.6699040731751,NA,25.4512709848884,25.0758253252066,25.0404671013862,25.418289002599,25.656491385128,25.7819179550002,25.6699040731751,25.1368868086521,25.2464631035201,25.5613000554889,0,2,0.136071376710959,0.866233221187902,0.314836951968772,FALSE
"FUN12","YAL035W","FUN12",25,25,25,31.2,112.27,1002,32.505878259882,32.3282001064716,32.594570657409,32.4732702151044,32.5493344607137,32.6067758409818,32.9155953252647,32.6526036558205,32.505878259882,32.3282001064716,32.594570657409,32.4732702151044,32.5493344607137,32.6067758409818,32.9155953252647,32.6526036558205,32.4754798097168,32.6810773206952,4,4,0.0870587759427334,1.06018744337037,0.205597510978393,FALSE
"RBG1","YAL036C","RBG1",10,10,10,43.9,40.701,369,30.8951871867681,30.4219180750635,30.7180015733435,30.7069319330553,30.6713491790974,30.7813645915698,31.1008046195954,30.8226687287763,30.8951871867681,30.4219180750635,30.7180015733435,30.7069319330553,30.6713491790974,30.7813645915698,31.1008046195954,30.8226687287763,30.6855096920576,30.8440467797597,4,4,0.2813357562689,0.550775067822626,0.158537087702136,FALSE
"CDC19","YAL038W","CDC19",24,24,24,76.2,54.544,500,37.8344618001889,37.7562663246656,37.7778547251143,37.7774261078632,38.0109387630133,37.8045439797575,37.8964508876919,37.9042118667497,37.8344618001889,37.7562663246656,37.7778547251143,37.7774261078632,38.0109387630133,37.8045439797575,37.8964508876919,37.9042118667497,37.786502239458,37.9040363743031,4,4,0.0620142031199649,1.20750883259521,0.117534134845116,FALSE
"CDC24","YAL041W","CDC24",6,6,6,8.1,96.938,854,26.7522581298834,27.1664338899385,27.1263254237464,26.943913759744,26.456650826439,26.9945321258833,26.7765567260068,26.6884584243988,26.7522581298834,27.1664338899385,27.1263254237464,26.943913759744,26.456650826439,26.9945321258833,26.7765567260068,26.6884584243988,26.9972328008281,26.7290495256819,4,4,0.117641446684429,0.929439643437313,-0.268183275146125,FALSE
"ERV46","YAL042W","ERV46",10,10,10,45.5,46.235,415,31.420613694439,31.1717039819291,31.4236721118034,31.6409970706925,31.4316137099179,31.0838534116308,31.1842340017744,31.0327563845839,31.420613694439,31.1717039819291,31.4236721118034,31.6409970706925,31.4316137099179,31.0838534116308,31.1842340017744,31.0327563845839,31.414246714716,31.1831143769768,4,4,0.127403077927327,0.894820079765921,-0.231132337739236,FALSE
"PTA1","YAL043C","PTA1",9,9,9,14,88.472,785,28.8306233255186,28.38302697911,28.857627308003,29.0002393799893,29.0954697831387,28.7385692147289,28.8751969212324,28.9412572482819,28.8306233255186,28.38302697911,28.857627308003,29.0002393799893,29.0954697831387,28.7385692147289,28.8751969212324,28.9412572482819,28.7678792481552,28.9126232918455,4,4,0.389621314539561,0.409357292723321,0.144744043690242,FALSE
"GCV3","YAL044C","GCV3",5,5,5,42.4,18.793,170,31.0424433307887,30.529434903276,30.9482375940114,30.8584575337153,30.9257805585589,30.2632693078443,29.605566581486,31.0523248423026,31.0424433307887,30.529434903276,30.9482375940114,30.8584575337153,30.9257805585589,30.2632693078443,29.605566581486,31.0523248423026,30.8446433404478,30.461735322548,4,4,0.342901889397466,0.464830121905666,-0.382908017899858,FALSE
"YAL044W-A","YAL044W-A","YAL044W-A",2,2,2,20,12.537,110,26.8041511141574,27.2847153948223,28.4746390672122,27.3187242869872,27.4088411343694,28.2496594068926,27.1404369399971,27.7759291125454,26.8041511141574,27.2847153948223,28.4746390672122,27.3187242869872,27.4088411343694,28.2496594068926,27.1404369399971,27.7759291125454,27.4705574657947,27.6437166484511,4,4,0.701977564597624,0.153676767823405,0.173159182656384,FALSE
"AIM1","YAL046C","AIM1",3,3,3,26.3,13.356,118,26.5641712418785,26.2443244892637,26.1457322398604,26.2440522329946,26.3121075573222,26.5287868575376,NA,NA,26.5641712418785,26.2443244892637,26.1457322398604,26.2440522329946,26.3121075573222,26.5287868575376,24.4443996462415,24.7661920170523,26.2995700509993,25.5128715195384,4,2,0.234757374283676,0.629380756632002,-0.786698531460885,FALSE
"AIM2","YAL049C","AIM2",10,10,10,69.9,27.089,246,30.1953072441692,29.9648539025528,30.2696363668668,30.1307501180881,30.3579381672399,30.3422319104018,29.9600272167497,30.0861335517784,30.1953072441692,29.9648539025528,30.2696363668668,30.1307501180881,30.3579381672399,30.3422319104018,29.9600272167497,30.0861335517784,30.1401369079192,30.1865827115425,4,4,0.708260001936518,0.149807283725751,0.0464458036232074,FALSE
"OAF1","YAL051W","OAF1",3,3,3,3.8,118.89,1047,NA,26.4197300592628,26.2799072318313,26.6239399690328,26.0958118041796,NA,26.7076725573973,25.8556446949695,25.1019341211535,26.4197300592628,26.2799072318313,26.6239399690328,26.0958118041796,24.893766556568,26.7076725573973,25.8556446949695,26.1063778453201,25.8882239032786,3,3,0.683346868336906,0.165358791538324,-0.218153942041528,FALSE
"FLC2","YAL053W","FLC2",5,5,5,6.4,87.468,783,28.0371628451194,27.4606086254193,NA,27.5141245723382,NA,27.2762195584726,27.855133760398,NA,28.0371628451194,27.4606086254193,24.9099207812414,27.5141245723382,24.3334158688653,27.2762195584726,27.855133760398,25.1575567390257,26.9804542060296,26.1555814816904,3,2,0.48049953599805,0.318307027378545,-0.824872724339169,FALSE
"PEX22","YAL055W","PEX22",2,2,2,9.4,19.877,180,NA,25.650752009806,25.6525310032049,25.6114427170708,25.6260309327897,NA,NA,NA,25.0958220542017,25.650752009806,25.6525310032049,25.6114427170708,25.6260309327897,25.1514396130925,24.5922536150546,25.1882218033194,25.5026369460708,25.139486491064,3,1,0.207485442239012,0.683012369202769,-0.363150455006824,FALSE
"ECM1","YAL059W","ECM1",9,9,9,47.2,23.891,212,30.4514013612374,30.2747542847721,30.3767903867217,30.4696604776003,30.5882615666127,30.0415297783328,29.8973528539863,29.9104220040058,30.4514013612374,30.2747542847721,30.3767903867217,30.4696604776003,30.5882615666127,30.0415297783328,29.8973528539863,29.9104220040058,30.3931516275828,30.1093915507344,4,4,0.179573356555622,0.745758099513016,-0.283760076848452,FALSE
"BDH1","YAL060W","BDH1",13,13,13,42.4,41.582,382,31.1658471340341,30.8343205141743,30.9556693495771,30.9061982566687,31.2351210249079,31.1948377696968,31.4484012272878,30.673288342288,31.1658471340341,30.8343205141743,30.9556693495771,30.9061982566687,31.2351210249079,31.1948377696968,31.4484012272878,30.673288342288,30.9655088136136,31.1379120910452,4,4,0.389731909832822,0.409234034297212,0.172403277431595,FALSE
"ERP1","YAR002C-A","ERP1",7,7,7,47.5,24.723,219,31.4853898258569,31.1868922593323,31.2103083958743,31.3483133273097,31.3445617421421,31.4175990766933,30.0822043996667,30.8933076419283,31.4853898258569,31.1868922593323,31.2103083958743,31.3483133273097,31.3445617421421,31.4175990766933,30.0822043996667,30.8933076419283,31.3077259520933,30.9344182151076,4,4,0.313524996845101,0.50372782785044,-0.373307736985698,FALSE
"NUP60","YAR002W","NUP60",20,20,20,53.6,59.039,539,30.5973485976537,30.7011585059093,30.5785772077658,30.4860614939403,30.4628525471525,30.3171074594719,30.4072006838791,30.593257609098,30.5973485976537,30.7011585059093,30.5785772077658,30.4860614939403,30.4628525471525,30.3171074594719,30.4072006838791,30.593257609098,30.5907864513173,30.4451045749004,4,4,0.0952505469959142,1.02113252161953,-0.145681876416919,FALSE
"RFA1","YAR007C","RFA1",20,20,20,44.6,70.347,621,32.0671175470734,31.734811753312,31.7607363149666,31.8498728030241,31.9533120042145,31.7885775944353,31.5605152746288,31.986715406814,32.0671175470734,31.734811753312,31.7607363149666,31.8498728030241,31.9533120042145,31.7885775944353,31.5605152746288,31.986715406814,31.853134604594,31.8222800700231,4,4,0.811137281405809,0.0909056371433841,-0.0308545345708851,FALSE
"BUD14","YAR014C","BUD14",4,4,4,7.6,78.981,709,26.3654794407621,27.0053888026158,27.5092239808812,26.8959672015274,26.1801793028267,27.0743904134401,27.313371052493,26.6205881107021,26.3654794407621,27.0053888026158,27.5092239808812,26.8959672015274,26.1801793028267,27.0743904134401,27.313371052493,26.6205881107021,26.9440148564466,26.7971322198655,4,4,0.683872948044605,0.165024575309692,-0.146882636581154,FALSE
"ADE1","YAR015W","ADE1",17,17,17,82,34.603,306,33.9736554015861,34.200549100974,34.365414777767,34.4370700196291,34.4640462564429,34.5081710100957,34.2009144419673,34.5847495346518,33.9736554015861,34.200549100974,34.365414777767,34.4370700196291,34.4640462564429,34.5081710100957,34.2009144419673,34.5847495346518,34.2441723249891,34.4394703107894,4,4,0.192695255284581,0.715128978801183,0.195297985800373,FALSE
"UIP3","YAR027W","UIP3",4,4,4,25.1,27.116,235,26.328139102146,NA,26.1202266429526,26.2678876670199,26.3929989027517,26.2964036042433,25.4847447301705,NA,26.328139102146,25.4545512080659,26.1202266429526,26.2678876670199,26.3929989027517,26.2964036042433,25.4847447301705,24.6513892079085,26.0427011550461,25.7063841112685,3,3,0.495931113171334,0.304578644572861,-0.336317043777644,FALSE
"SWH1","YAR042W","SWH1",20,20,20,21.7,135.1,1188,28.9644959034571,28.9650741655416,28.9980614425829,28.8122234871866,28.8396609101424,29.0119864030552,29.5698415599955,28.7644585834889,28.9644959034571,28.9650741655416,28.9980614425829,28.8122234871866,28.8396609101424,29.0119864030552,29.5698415599955,28.7644585834889,28.9349637496921,29.0464868641705,4,4,0.588640146041524,0.230150121764545,0.111523114478445,FALSE
"PHO12","YHR215W;YAR071W","PHO12",6,5,5,18.4,52.699,467,30.7157126188093,30.3096466253197,31.0337411369879,30.6436656204117,30.2492072931186,30.8851102828725,30.5928122366248,30.3420199208282,30.7157126188093,30.3096466253197,31.0337411369879,30.6436656204117,30.2492072931186,30.8851102828725,30.5928122366248,30.3420199208282,30.6756915003821,30.517287433361,4,4,0.470799091471277,0.327164383911423,-0.158404067021113,FALSE
"ECM15","YBL001C","ECM15",2,2,2,23.1,11.518,104,28.4515978735364,28.7732901504526,28.8732324549198,28.7463753124173,28.5576426054145,28.7416581541502,27.8151893856098,NA,28.4515978735364,28.7732901504526,28.8732324549198,28.7463753124173,28.5576426054145,28.7416581541502,27.8151893856098,24.7994354155069,28.7111239478315,27.4784813901704,4,3,0.27100337783654,0.567025295964606,-1.23264255766116,FALSE
"HTB1","YDR224C;YBL002W","HTB1",7,7,7,68.7,14.252,131,34.3440061012725,33.7064585572628,34.3881155020638,34.2773895982748,34.1529291189292,34.0641486249481,33.2224513917538,34.3151378727885,34.3440061012725,33.7064585572628,34.3881155020638,34.2773895982748,34.1529291189292,34.0641486249481,33.2224513917538,34.3151378727885,34.1789924397185,33.9386667521049,4,4,0.446257391718114,0.350414577253303,-0.240325687613591,FALSE
"HTA1","YDR225W;YBL003C","HTA1",3,3,3,33.3,13.989,132,33.0273776376572,33.3424173757297,33.534615309208,33.6595953506767,33.7379167960364,33.6274493195817,32.5657670245789,33.6434505976763,33.0273776376572,33.3424173757297,33.534615309208,33.6595953506767,33.7379167960364,33.6274493195817,32.5657670245789,33.6434505976763,33.3910014183179,33.3936459344683,4,4,0.993553232072512,0.00280885952947681,0.00264451615043271,FALSE
"UTP20","YBL004W","UTP20",43,43,43,23,287.56,2493,30.4402547097996,30.7129282828488,30.5031316215217,30.6158788804485,29.5064080433755,30.5007596255895,31.1286009199452,30.4115508773338,30.4402547097996,30.7129282828488,30.5031316215217,30.6158788804485,29.5064080433755,30.5007596255895,31.1286009199452,30.4115508773338,30.5680483736547,30.386829866561,4,4,0.628360536038036,0.201791098487423,-0.181218507093657,FALSE
"SLA1","YBL007C","SLA1",18,18,18,20.1,135.85,1244,30.4841416120403,30.2351210249079,30.4746003895794,30.3153808439128,30.6395315741251,30.8824160377229,31.0211514624489,30.7966831887767,30.4841416120403,30.2351210249079,30.4746003895794,30.3153808439128,30.6395315741251,30.8824160377229,31.0211514624489,30.7966831887767,30.3773109676101,30.8349455657684,4,4,0.00459467881412924,2.33774484208563,0.457634598158311,FALSE
